SURVEY:  DEHVILS
SNID:  2020jdo
RA:        273.9318550  deg
DECL:       58.2152610  deg
MWEBV:    0.030 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.072513 +- 0.0001
REDSHIFT_FINAL: 0.072187 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 58984.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 25
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58985.48 Y NULL  2181.788 111.602 19.153 0.054 0x00
OBS: 58988.40 Y NULL  1769.960 119.935 19.38 0.072 0x00
OBS: 58991.49 Y NULL  1564.731 117.525 19.514 0.079 0x00
OBS: 59003.50 Y NULL  1736.774 110.940 19.401 0.068 0x00
OBS: 59008.50 Y NULL  1672.530 90.560 19.442 0.057 0x00
OBS: 59014.54 Y NULL  945.377 122.709 20.061 0.137 0x00
OBS: 59022.49 Y NULL  1110.354 183.994 19.886 0.175 0x00
OBS: 59028.42 Y NULL  451.679 118.652 20.863 0.278 0x00
OBS: 58981.54 J NULL  2547.536 158.507 18.985 0.068 0x00
OBS: 58984.47 J NULL  2084.577 148.621 19.202 0.077 0x00
OBS: 58987.44 J NULL  1721.382 151.984 19.410 0.096 0x00
OBS: 59003.50 J NULL  1157.465 172.890 19.841 0.162 0x00
OBS: 59008.49 J NULL  770.831 165.379 20.283 0.233 0x00
OBS: 59014.54 J NULL  556.216 202.151 20.637 0.395 0x00
OBS: 59022.49 J NULL  230.582 173.770 21.593 0.818 0x00
OBS: 59028.40 J NULL  56.419 187.170 23.121 3.602 0x00
OBS: 59028.42 J NULL  -37.140 166.734 30.0 -4.874 0x00
OBS: 58985.49 H NULL  1453.920 359.083 19.594 0.268 0x00
OBS: 58988.40 H NULL  1088.888 421.754 19.908 0.421 0x00
OBS: 58991.50 H NULL  908.469 381.934 20.104 0.456 0x00
OBS: 59003.51 H NULL  1343.325 367.066 19.680 0.297 0x00
OBS: 59008.50 H NULL  1032.119 302.446 19.966 0.318 0x00
OBS: 59014.54 H NULL  574.200 379.543 20.602 0.718 0x00
OBS: 59022.50 H NULL  1804.265 885.072 19.359 0.533 0x00
OBS: 59028.43 H NULL  313.917 370.263 21.258 1.281 0x00
END:
