SURVEY:  DEHVILS
SNID:  2020jfc
RA:        287.5295000  deg
DECL:       40.0093500  deg
MWEBV:    0.113 +- 0.006 MW E(B-V)
REDSHIFT_HELIO: 0.027606 +- 0.0001
REDSHIFT_FINAL: 0.027032 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 58985.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 27
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58985.51 Y NULL  7761.776 138.800 17.775 0.019 0x00
OBS: 58988.48 Y NULL  6375.481 147.925 17.989 0.025 0x00
OBS: 58991.50 Y NULL  5190.448 126.786 18.212 0.026 0x00
OBS: 59003.55 Y NULL  7897.004 139.837 17.756 0.019 0x00
OBS: 59008.47 Y NULL  10522.786 138.840 17.445 0.014 0x00
OBS: 59013.52 Y NULL  7755.332 127.941 17.776 0.017 0x00
OBS: 59018.59 Y NULL  5624.334 194.537 18.125 0.037 0x00
OBS: 59021.58 Y NULL  4856.252 149.467 18.284 0.033 0x00
OBS: 59028.46 Y NULL  3365.677 132.799 18.682 0.042 0x00
OBS: 58981.56 J NULL  13048.324 184.410 17.211 0.015 0x00
OBS: 58984.49 J NULL  11528.293 194.212 17.346 0.018 0x00
OBS: 58987.46 J NULL  9450.019 236.273 17.561 0.027 0x00
OBS: 59003.54 J NULL  3464.386 211.269 18.651 0.066 0x00
OBS: 59008.47 J NULL  4833.515 217.306 18.289 0.049 0x00
OBS: 59013.51 J NULL  3000.059 237.875 18.807 0.086 0x00
OBS: 59018.58 J NULL  1462.521 398.035 19.587 0.295 0x00
OBS: 59021.58 J NULL  1372.335 234.331 19.656 0.185 0x00
OBS: 59028.45 J NULL  660.707 175.783 20.450 0.289 0x00
OBS: 58985.51 H NULL  10442.464 486.677 17.453 0.051 0x00
OBS: 58988.48 H NULL  9076.130 509.062 17.605 0.061 0x00
OBS: 58991.50 H NULL  7337.864 454.041 17.836 0.067 0x00
OBS: 59003.55 H NULL  10167.369 493.899 17.482 0.053 0x00
OBS: 59008.48 H NULL  9691.810 475.807 17.534 0.053 0x00
OBS: 59013.52 H NULL  6624.353 421.555 17.947 0.069 0x00
OBS: 59018.59 H NULL  5035.600 590.922 18.245 0.127 0x00
OBS: 59021.58 H NULL  3924.132 518.593 18.516 0.143 0x00
OBS: 59028.46 H NULL  2658.528 472.270 18.938 0.193 0x00
END:
