SURVEY:  DEHVILS
SNID:  2020jgl
RA:        142.2434420  deg
DECL:       -14.8055220  deg
MWEBV:    0.060 +- 0.003 MW E(B-V)
REDSHIFT_HELIO: 0.006765 +- 0.0001
REDSHIFT_FINAL: 0.007878 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 58993.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 15
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58985.24 Y NULL  196042.640 350.733 14.269 0.002 0x00
OBS: 58985.25 Y NULL  195126.029 336.438 14.274 0.002 0x00
OBS: 58985.26 Y NULL  192262.116 349.015 14.29 0.002 0x00
OBS: 58986.24 Y NULL  203314.553 261.044 14.23 0.001 0x00
OBS: 59000.24 Y NULL  109571.242 225.361 14.901 0.002 0x00
OBS: 59003.26 Y NULL  103095.115 204.061 14.967 0.002 0x00
OBS: 58981.23 J NULL  104599.050 705.028 14.951 0.007 0x00
OBS: 58982.23 J NULL  132165.760 703.976 14.697 0.006 0x00
OBS: 58982.25 J NULL  135288.038 519.666 14.672 0.004 0x00
OBS: 58992.24 J NULL  222348.336 557.362 14.132 0.003 0x00
OBS: 58985.24 H NULL  185161.314 1252.545 14.331 0.007 0x00
OBS: 58985.25 H NULL  186056.412 1336.297 14.326 0.008 0x00
OBS: 58986.24 H NULL  191089.869 471.522 14.297 0.003 0x00
OBS: 59000.24 H NULL  140311.793 413.989 14.632 0.003 0x00
OBS: 59003.26 H NULL  134651.245 468.835 14.677 0.004 0x00
END:
