SURVEY:  DEHVILS
SNID:  2020jht
RA:        179.8012230  deg
DECL:       11.5054930  deg
MWEBV:    0.021 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.030441 +- 0.0001
REDSHIFT_FINAL: 0.031621 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 58991.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 21
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58986.31 Y NULL  13484.464 112.406 17.175 0.009 0x00
OBS: 58989.26 Y NULL  12169.612 123.935 17.287 0.011 0x00
OBS: 58995.29 Y NULL  11236.060 144.379 17.373 0.014 0x00
OBS: 59003.24 Y NULL  5237.342 139.186 18.201999999999998 0.028 0x00
OBS: 59011.24 Y NULL  8692.616 259.225 17.652 0.032 0x00
OBS: 59016.24 Y NULL  12338.516 152.307 17.272 0.013 0x00
OBS: 59017.35 Y NULL  12574.439 115.844 17.251 0.010 0x00
OBS: 58981.25 J NULL  11491.615 149.840 17.349 0.014 0x00
OBS: 58984.31 J NULL  12154.788 129.115 17.288 0.012 0x00
OBS: 58987.27 J NULL  12067.500 136.441 17.296 0.012 0x00
OBS: 59003.24 J NULL  1771.110 230.636 19.379 0.141 0x00
OBS: 59011.24 J NULL  1964.949 327.362 19.267 0.181 0x00
OBS: 59016.24 J NULL  1691.248 237.618 19.429 0.153 0x00
OBS: 59017.36 J NULL  3152.891 215.204 18.753 0.074 0x00
OBS: 58986.31 H NULL  9292.330 321.483 17.580 0.038 0x00
OBS: 58989.27 H NULL  9043.341 425.281 17.609 0.051 0x00
OBS: 58995.29 H NULL  -1192.401 337.906 30.0 -0.308 0x00
OBS: 59003.24 H NULL  162.669 319.051 21.972 2.130 0x00
OBS: 59011.25 H NULL  14280.742 397.662 17.113 0.030 0x00
OBS: 59016.25 H NULL  1506.320 416.708 19.555 0.300 0x00
OBS: 59017.36 H NULL  13828.611 441.770 17.148 0.035 0x00
END:
