SURVEY:  DEHVILS
SNID:  2020jio
RA:        254.5452340  deg
DECL:       46.8966300  deg
MWEBV:    0.029 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.043982 +- 0.0001
REDSHIFT_FINAL: 0.043920 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 58994.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 21
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58985.45 Y NULL  3148.076 88.398 18.755 0.030 0x00
OBS: 58988.35 Y NULL  3820.252 118.338 18.544999999999998 0.033 0x00
OBS: 58991.46 Y NULL  4108.462 89.880 18.466 0.023 0x00
OBS: 59003.47 Y NULL  3530.950 87.399 18.63 0.026 0x00
OBS: 59011.39 Y NULL  3075.038 131.955 18.78 0.045 0x00
OBS: 59016.57 Y NULL  2892.773 194.358 18.847 0.071 0x00
OBS: 59025.35 Y NULL  2711.488 93.112 18.917 0.036 0x00
OBS: 58984.40 J NULL  3414.774 181.458 18.667 0.058 0x00
OBS: 58987.39 J NULL  4120.733 156.065 18.463 0.041 0x00
OBS: 58991.53 J NULL  4620.772 163.483 18.338 0.038 0x00
OBS: 59003.47 J NULL  4281.266 150.889 18.421 0.038 0x00
OBS: 59011.39 J NULL  3843.136 164.776 18.538 0.047 0x00
OBS: 59016.57 J NULL  3410.233 320.062 18.668 0.102 0x00
OBS: 59025.34 J NULL  3281.112 139.968 18.710 0.046 0x00
OBS: 58985.46 H NULL  4575.103 281.341 18.349 0.067 0x00
OBS: 58988.36 H NULL  5812.548 424.434 18.089 0.079 0x00
OBS: 58991.46 H NULL  7114.576 350.157 17.870 0.053 0x00
OBS: 59003.48 H NULL  5860.320 293.688 18.080 0.054 0x00
OBS: 59011.39 H NULL  5619.269 299.330 18.126 0.058 0x00
OBS: 59016.57 H NULL  4643.557 602.325 18.333 0.141 0x00
OBS: 59025.35 H NULL  5397.425 298.851 18.170 0.060 0x00
END:
