SURVEY:  DEHVILS
SNID:  2020jjf
RA:        233.7844580  deg
DECL:       23.9455720  deg
MWEBV:    0.045 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.064268 +- 0.0001
REDSHIFT_FINAL: 0.064691 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 58988.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 28
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58985.45 Y NULL  3919.006 88.569 18.517 0.024 0x00
OBS: 58988.32 Y NULL  3272.423 121.433 18.713 0.039 0x00
OBS: 58991.36 Y NULL  2671.818 104.771 18.933 0.041 0x00
OBS: 59000.49 Y NULL  1720.130 92.482 19.411 0.057 0x00
OBS: 59005.40 Y NULL  1925.774 133.189 19.288 0.073 0x00
OBS: 59012.30 Y NULL  2279.198 184.549 19.106 0.086 0x00
OBS: 59013.28 Y NULL  2451.631 106.919 19.026 0.046 0x00
OBS: 59021.36 Y NULL  3148.631 88.564 18.755 0.030 0x00
OBS: 59029.35 Y NULL  2069.543 100.718 19.21 0.051 0x00
OBS: 58981.37 J NULL  3844.286 264.935 18.538 0.075 0x00
OBS: 58984.33 J NULL  3813.016 294.767 18.547 0.084 0x00
OBS: 58987.34 J NULL  3361.586 257.353 18.684 0.083 0x00
OBS: 59000.49 J NULL  521.261 227.158 20.707 0.473 0x00
OBS: 59005.39 J NULL  1096.049 279.221 19.900 0.277 0x00
OBS: 59005.39 J NULL  759.028 348.669 20.299 0.499 0x00
OBS: 59012.30 J NULL  1009.010 307.151 19.990 0.331 0x00
OBS: 59013.27 J NULL  941.962 295.838 20.065 0.341 0x00
OBS: 59021.35 J NULL  1682.153 230.690 19.435 0.149 0x00
OBS: 59029.35 J NULL  1131.043 353.082 19.866 0.339 0x00
OBS: 58985.45 H NULL  2972.092 305.403 18.817 0.112 0x00
OBS: 58988.33 H NULL  2499.135 433.338 19.006 0.188 0x00
OBS: 58991.37 H NULL  1881.279 344.760 19.314 0.199 0x00
OBS: 59000.50 H NULL  1101.128 382.472 19.895 0.377 0x00
OBS: 59005.40 H NULL  1253.714 335.788 19.755 0.291 0x00
OBS: 59012.31 H NULL  1384.694 465.586 19.647 0.365 0x00
OBS: 59013.28 H NULL  2177.229 354.382 19.155 0.177 0x00
OBS: 59021.36 H NULL  1657.548 284.045 19.451 0.186 0x00
OBS: 59029.36 H NULL  917.125 310.353 20.094 0.367 0x00
END:
