SURVEY:  DEHVILS
SNID:  2020jjh
RA:        248.0722500  deg
DECL:       50.1905390  deg
MWEBV:    0.020 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.047369 +- 0.0001
REDSHIFT_FINAL: 0.047390 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 58993.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 21
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58985.44 Y NULL  6775.565 115.102 17.923 0.018 0x00
OBS: 58988.34 Y NULL  6916.522 112.306 17.9 0.017 0x00
OBS: 58991.39 Y NULL  5735.716 95.068 18.104 0.018 0x00
OBS: 59003.46 Y NULL  3184.331 86.075 18.742 0.029 0x00
OBS: 59011.40 Y NULL  3301.818 90.669 18.703 0.029 0x00
OBS: 59020.38 Y NULL  5903.282 82.793 18.072 0.015 0x00
OBS: 59025.36 Y NULL  7111.298 75.096 17.87 0.011 0x00
OBS: 58984.39 J NULL  5702.572 260.851 18.110 0.050 0x00
OBS: 58987.38 J NULL  6855.807 362.430 17.910 0.057 0x00
OBS: 58992.47 J NULL  6289.968 275.488 18.003 0.048 0x00
OBS: 59003.45 J NULL  1831.252 213.600 19.343 0.127 0x00
OBS: 59011.40 J NULL  1280.436 233.403 19.732 0.198 0x00
OBS: 59020.38 J NULL  2294.658 217.302 19.098 0.103 0x00
OBS: 59025.36 J NULL  2714.901 204.100 18.916 0.082 0x00
OBS: 58985.44 H NULL  6276.912 349.190 18.006 0.060 0x00
OBS: 58988.35 H NULL  6545.875 446.570 17.960 0.074 0x00
OBS: 58991.39 H NULL  6152.030 348.653 18.027 0.062 0x00
OBS: 59003.46 H NULL  3478.606 274.871 18.646 0.086 0x00
OBS: 59011.41 H NULL  3231.483 308.794 18.726 0.104 0x00
OBS: 59020.38 H NULL  4712.269 315.735 18.317 0.073 0x00
OBS: 59025.36 H NULL  4795.517 316.092 18.298 0.072 0x00
END:
