SURVEY:  DEHVILS
SNID:  2020jsa
RA:        216.0998910  deg
DECL:       26.6897740  deg
MWEBV:    0.018 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.036555 +- 0.0001
REDSHIFT_FINAL: 0.037242 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 58993.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 25
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58989.33 Y NULL  6623.261 104.575 17.947 0.017 0x00
OBS: 58992.32 Y NULL  6978.387 82.602 17.891 0.013 0x00
OBS: 58995.30 Y NULL  6251.713 95.578 18.01 0.016 0x00
OBS: 59000.38 Y NULL  5419.782 77.587 18.165 0.015 0x00
OBS: 59009.24 Y NULL  5678.864 135.783 18.114 0.025 0x00
OBS: 59010.25 Y NULL  5423.275 101.909 18.164 0.020 0x00
OBS: 59015.27 Y NULL  4935.768 105.885 18.267 0.023 0x00
OBS: 59021.38 Y NULL  3427.280 96.099 18.663 0.030 0x00
OBS: 58989.27 J NULL  6400.999 192.626 17.984 0.033 0x00
OBS: 58992.41 J NULL  6232.692 163.333 18.013 0.028 0x00
OBS: 59000.39 J NULL  2972.284 145.179 18.817 0.053 0x00
OBS: 59009.25 J NULL  1787.849 290.794 19.369 0.177 0x00
OBS: 59010.26 J NULL  2639.790 209.705 18.946 0.086 0x00
OBS: 59015.27 J NULL  2679.840 321.114 18.930 0.130 0x00
OBS: 59021.38 J NULL  796.527 181.060 20.247 0.247 0x00
OBS: 59030.27 J NULL  200.466 183.104 21.745 0.992 0x00
OBS: 58989.33 H NULL  5516.118 318.862 18.146 0.063 0x00
OBS: 58992.33 H NULL  6295.192 296.779 18.002 0.051 0x00
OBS: 58995.31 H NULL  5523.682 300.136 18.144 0.059 0x00
OBS: 59000.38 H NULL  3338.489 278.573 18.691 0.091 0x00
OBS: 59009.25 H NULL  2851.512 325.042 18.862 0.124 0x00
OBS: 59010.26 H NULL  3821.817 281.275 18.544 0.080 0x00
OBS: 59015.28 H NULL  1231.036 407.588 19.774 0.359 0x00
OBS: 59021.39 H NULL  1400.319 310.129 19.634 0.240 0x00
OBS: 59030.27 H NULL  1065.891 248.280 19.931 0.253 0x00
END:
