SURVEY:  DEHVILS
SNID:  2020jwl
RA:        274.6636640  deg
DECL:       19.1899090  deg
MWEBV:    0.160 +- 0.008 MW E(B-V)
REDSHIFT_HELIO: 0.057980 +- 0.0001
REDSHIFT_FINAL: 0.057577 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 58992.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 27
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58988.39 Y NULL  4856.116 154.137 18.284 0.034 0x00
OBS: 58991.48 Y NULL  4620.108 95.824 18.338 0.022 0x00
OBS: 58994.45 Y NULL  3646.478 111.675 18.595 0.032 0x00
OBS: 58999.51 Y NULL  2868.519 86.206 18.856 0.032 0x00
OBS: 59004.35 Y NULL  2640.316 127.331 18.946 0.051 0x00
OBS: 59009.52 Y NULL  2956.471 100.161 18.823 0.036 0x00
OBS: 59014.55 Y NULL  3245.206 96.829 18.722 0.032 0x00
OBS: 59022.47 Y NULL  4175.696 90.337 18.448 0.023 0x00
OBS: 59028.47 Y NULL  3775.629 87.588 18.558 0.025 0x00
OBS: 58989.53 J NULL  4703.908 194.058 18.319 0.045 0x00
OBS: 58992.44 J NULL  4045.518 204.734 18.483 0.055 0x00
OBS: 58999.52 J NULL  2094.768 166.760 19.197 0.086 0x00
OBS: 58999.53 J NULL  2207.217 188.886 19.140 0.093 0x00
OBS: 59004.35 J NULL  1611.131 242.855 19.482 0.164 0x00
OBS: 59009.52 J NULL  1287.819 198.838 19.725 0.168 0x00
OBS: 59014.55 J NULL  1475.432 180.728 19.578 0.133 0x00
OBS: 59022.48 J NULL  1817.712 126.443 19.351 0.076 0x00
OBS: 59028.47 J NULL  1630.011 173.182 19.470 0.115 0x00
OBS: 58988.39 H NULL  4023.897 423.684 18.488 0.114 0x00
OBS: 58991.49 H NULL  4072.341 322.276 18.475 0.086 0x00
OBS: 58994.46 H NULL  3337.173 375.223 18.692 0.122 0x00
OBS: 58999.52 H NULL  3037.603 260.524 18.794 0.093 0x00
OBS: 59004.36 H NULL  1750.470 350.905 19.392 0.218 0x00
OBS: 59009.53 H NULL  2576.355 321.130 18.972 0.135 0x00
OBS: 59014.56 H NULL  3195.160 293.596 18.739 0.100 0x00
OBS: 59022.48 H NULL  3144.569 257.242 18.756 0.089 0x00
OBS: 59028.48 H NULL  2766.498 265.065 18.895 0.104 0x00
END:
