SURVEY:  DEHVILS
SNID:  2020kav
RA:        243.1204780  deg
DECL:       45.9600630  deg
MWEBV:    0.014 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.093855 +- 0.0001
REDSHIFT_FINAL: 0.093976 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 58989.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 20
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58986.41 Y NULL  1793.950 82.748 19.365 0.049 0x00
OBS: 58989.43 Y NULL  1963.605 129.603 19.267 0.070 0x00
OBS: 58991.38 Y NULL  1900.412 97.772 19.303 0.054 0x00
OBS: 58994.42 Y NULL  1824.641 101.702 19.347 0.059 0x00
OBS: 59003.42 Y NULL  1422.749 89.774 19.617 0.067 0x00
OBS: 59011.48 Y NULL  1130.868 107.991 19.866 0.101 0x00
OBS: 59017.51 Y NULL  894.702 107.095 20.121 0.127 0x00
OBS: 59029.37 Y NULL  618.949 101.766 20.521 0.174 0x00
OBS: 58986.42 J NULL  1827.295 144.084 19.345 0.086 0x00
OBS: 58990.44 J NULL  2193.974 254.610 19.147 0.126 0x00
OBS: 58992.42 J NULL  2087.122 172.037 19.201 0.089 0x00
OBS: 59004.32 J NULL  1693.094 168.296 19.428 0.108 0x00
OBS: 58986.42 H NULL  1816.355 252.256 19.352 0.151 0x00
OBS: 58989.43 H NULL  2242.746 476.788 19.123 0.231 0x00
OBS: 58991.38 H NULL  2426.563 312.910 19.038 0.140 0x00
OBS: 58994.42 H NULL  2172.123 319.206 19.158 0.160 0x00
OBS: 59003.43 H NULL  1821.730 236.233 19.349 0.141 0x00
OBS: 59011.50 H NULL  1262.990 355.988 19.747 0.306 0x00
OBS: 59017.52 H NULL  1934.986 258.952 19.283 0.145 0x00
OBS: 59029.38 H NULL  530.800 260.013 20.688 0.532 0x00
END:
