SURVEY:  DEHVILS
SNID:  2020kaz
RA:        175.2787500  deg
DECL:       42.4177690  deg
MWEBV:    0.020 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.067107 +- 0.0001
REDSHIFT_FINAL: 0.067957 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 58992.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 16
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58986.29 Y NULL  4429.137 90.790 18.384 0.022 0x00
OBS: 58989.25 Y NULL  4506.999 124.427 18.365 0.029 0x00
OBS: 58993.32 Y NULL  3499.864 97.614 18.64 0.029 0x00
OBS: 59000.25 Y NULL  2330.802 89.463 19.081 0.041 0x00
OBS: 59005.24 Y NULL  2014.384 186.897 19.24 0.098 0x00
OBS: 59014.33 Y NULL  2243.464 111.511 19.123 0.053 0x00
OBS: 58986.30 J NULL  4030.404 230.059 18.487 0.062 0x00
OBS: 59000.25 J NULL  1859.950 262.591 19.326 0.153 0x00
OBS: 59004.24 J NULL  891.123 287.986 20.125 0.351 0x00
OBS: 59014.34 J NULL  931.701 327.479 20.077 0.382 0x00
OBS: 58986.30 H NULL  3325.340 323.704 18.695 0.106 0x00
OBS: 58989.25 H NULL  2988.132 425.350 18.812 0.155 0x00
OBS: 58993.32 H NULL  1988.364 308.390 19.254 0.168 0x00
OBS: 59000.25 H NULL  1763.956 296.491 19.384 0.182 0x00
OBS: 59005.25 H NULL  515.140 460.528 20.720 0.971 0x00
OBS: 59014.34 H NULL  1738.170 333.515 19.400 0.208 0x00
END:
