SURVEY:  DEHVILS
SNID:  2020kbw
RA:        231.4938130  deg
DECL:       46.3123610  deg
MWEBV:    0.015 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.076315 +- 0.0001
REDSHIFT_FINAL: 0.076604 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 58997.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 18
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58990.39 Y NULL  2399.708 143.847 19.05 0.063 0x00
OBS: 58993.33 Y NULL  2863.665 100.649 18.858 0.037 0x00
OBS: 59000.43 Y NULL  2561.080 97.354 18.979 0.040 0x00
OBS: 59005.35 Y NULL  1876.038 118.769 19.317 0.067 0x00
OBS: 59012.46 Y NULL  1734.402 101.587 19.402 0.062 0x00
OBS: 59017.39 Y NULL  1865.369 113.359 19.323 0.064 0x00
OBS: 59035.41 Y NULL  1668.412 122.157 19.444 0.077 0x00
OBS: 58993.28 J NULL  2392.680 261.061 19.053 0.118 0x00
OBS: 58994.40 J NULL  1866.205 284.883 19.323 0.166 0x00
OBS: 59000.43 J NULL  1669.536 262.987 19.444 0.171 0x00
OBS: 59004.28 J NULL  1244.754 224.967 19.762 0.196 0x00
OBS: 58990.39 H NULL  2220.044 487.854 19.134 0.239 0x00
OBS: 58993.33 H NULL  2204.657 297.202 19.142 0.146 0x00
OBS: 59000.43 H NULL  1406.107 298.603 19.630 0.231 0x00
OBS: 59005.36 H NULL  640.239 314.005 20.484 0.532 0x00
OBS: 59012.47 H NULL  740.543 309.497 20.326 0.454 0x00
OBS: 59017.40 H NULL  817.447 279.766 20.219 0.372 0x00
OBS: 59035.42 H NULL  554.688 330.703 20.640 0.647 0x00
END:
