SURVEY:  DEHVILS
SNID:  2020kcr
RA:        233.9284250  deg
DECL:       33.1504830  deg
MWEBV:    0.031 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.110676 +- 0.0001
REDSHIFT_FINAL: 0.111049 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 58998.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 23
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58989.42 Y NULL  1256.805 95.739 19.752 0.081 0x00
OBS: 58992.36 Y NULL  1614.981 98.542 19.48 0.065 0x00
OBS: 58995.39 Y NULL  1933.456 98.841 19.284 0.054 0x00
OBS: 59000.47 Y NULL  1946.886 85.350 19.277 0.046 0x00
OBS: 59010.36 Y NULL  1675.132 90.236 19.44 0.057 0x00
OBS: 59015.35 Y NULL  2113.625 76.951 19.187 0.038 0x00
OBS: 59029.31 Y NULL  1256.189 150.384 19.752 0.127 0x00
OBS: 59034.46 Y NULL  1675.768 119.088 19.439 0.075 0x00
OBS: 58990.33 J NULL  1874.221 505.403 19.318 0.293 0x00
OBS: 58991.30 J NULL  1817.419 224.726 19.351 0.134 0x00
OBS: 59000.48 J NULL  1981.911 293.145 19.257 0.161 0x00
OBS: 59010.36 J NULL  1973.513 423.020 19.262 0.233 0x00
OBS: 59015.36 J NULL  2089.228 527.762 19.200 0.274 0x00
OBS: 59029.32 J NULL  2540.425 383.922 18.988 0.164 0x00
OBS: 59034.46 J NULL  1966.642 328.482 19.266 0.181 0x00
OBS: 58989.42 H NULL  1461.676 332.480 19.588 0.247 0x00
OBS: 58992.37 H NULL  1742.797 361.380 19.397 0.225 0x00
OBS: 58995.39 H NULL  1889.522 300.379 19.309 0.173 0x00
OBS: 59000.48 H NULL  2031.588 317.321 19.230 0.170 0x00
OBS: 59010.37 H NULL  2029.692 251.797 19.231 0.135 0x00
OBS: 59015.36 H NULL  2184.633 287.095 19.152 0.143 0x00
OBS: 59029.32 H NULL  1828.809 383.628 19.345 0.228 0x00
OBS: 59034.46 H NULL  2114.552 491.871 19.187 0.253 0x00
END:
