SURVEY:  DEHVILS
SNID:  2020khm
RA:        268.9007450  deg
DECL:       17.9162180  deg
MWEBV:    0.077 +- 0.004 MW E(B-V)
REDSHIFT_HELIO: 0.093571 +- 0.0001
REDSHIFT_FINAL: 0.093279 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 58993.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 27
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58991.41 Y NULL  2044.286 136.418 19.224 0.071 0x00
OBS: 58994.44 Y NULL  1759.173 132.936 19.387 0.080 0x00
OBS: 58995.46 Y NULL  1416.524 143.218 19.622 0.107 0x00
OBS: 58999.53 Y NULL  1118.192 128.420 19.879 0.121 0x00
OBS: 59003.49 Y NULL  1158.085 117.900 19.841 0.108 0x00
OBS: 59014.52 Y NULL  1262.619 132.394 19.747 0.111 0x00
OBS: 59024.45 Y NULL  1733.116 123.444 19.403 0.075 0x00
OBS: 59029.43 Y NULL  987.674 125.646 20.013 0.134 0x00
OBS: 59035.47 Y NULL  1008.455 135.565 19.991 0.142 0x00
OBS: 58991.51 J NULL  1645.685 193.011 19.459 0.127 0x00
OBS: 58994.46 J NULL  1429.883 188.273 19.612 0.143 0x00
OBS: 58999.54 J NULL  876.784 198.825 20.143 0.246 0x00
OBS: 59008.51 J NULL  587.434 181.074 20.578 0.335 0x00
OBS: 59014.53 J NULL  755.775 225.671 20.304 0.324 0x00
OBS: 59024.46 J NULL  1158.635 210.118 19.840 0.197 0x00
OBS: 59029.43 J NULL  1166.661 234.075 19.833 0.218 0x00
OBS: 59035.48 J NULL  630.660 221.449 20.501 0.381 0x00
OBS: 58991.41 H NULL  541.433 498.955 20.666 1.001 0x00
OBS: 58994.44 H NULL  378.505 514.479 21.055 1.476 0x00
OBS: 58995.47 H NULL  -249.788 540.190 30.0 -2.348 0x00
OBS: 58999.54 H NULL  356.723 427.797 21.119 1.302 0x00
OBS: 59003.49 H NULL  -50.548 461.045 30.0 -9.903 0x00
OBS: 59008.51 H NULL  -95.936 490.521 30.0 -5.551 0x00
OBS: 59014.53 H NULL  200.921 486.670 21.742 2.630 0x00
OBS: 59024.46 H NULL  494.967 464.921 20.764 1.020 0x00
OBS: 59029.43 H NULL  50.673 471.518 23.238 10.103 0x00
OBS: 59035.48 H NULL  526.112 467.153 20.697 0.964 0x00
END:
