SURVEY:  DEHVILS
SNID:  2020kkc
RA:        218.8460690  deg
DECL:       -13.6540850  deg
MWEBV:    0.066 +- 0.003 MW E(B-V)
REDSHIFT_HELIO: 0.070025 +- 0.0001
REDSHIFT_FINAL: 0.070866 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 58999.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 21
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58990.37 Y NULL  2927.744 119.156 18.834 0.043 0x00
OBS: 58993.35 Y NULL  3450.097 115.103 18.655 0.035 0x00
OBS: 59000.40 Y NULL  2687.993 114.563 18.926 0.045 0x00
OBS: 59005.33 Y NULL  2105.075 140.408 19.192 0.071 0x00
OBS: 59012.42 Y NULL  1349.149 174.524 19.675 0.137 0x00
OBS: 59017.42 Y NULL  2294.362 296.595 19.098 0.137 0x00
OBS: 59022.26 Y NULL  2218.590 100.797 19.135 0.048 0x00
OBS: 58990.30 J NULL  3022.192 179.220 18.799 0.064 0x00
OBS: 58993.36 J NULL  2993.092 208.120 18.810 0.075 0x00
OBS: 59000.40 J NULL  1954.852 196.271 19.272 0.109 0x00
OBS: 59005.34 J NULL  1076.788 259.168 19.920 0.261 0x00
OBS: 59012.43 J NULL  643.025 299.220 20.479 0.505 0x00
OBS: 59017.43 J NULL  1042.684 418.216 19.955 0.435 0x00
OBS: 59022.26 J NULL  723.914 187.542 20.351 0.281 0x00
OBS: 58990.38 H NULL  2171.567 404.702 19.158 0.202 0x00
OBS: 58993.36 H NULL  2833.574 389.586 18.869 0.149 0x00
OBS: 59000.40 H NULL  2543.626 372.144 18.986 0.159 0x00
OBS: 59005.34 H NULL  1457.445 441.490 19.591 0.329 0x00
OBS: 59012.43 H NULL  1581.143 507.188 19.503 0.348 0x00
OBS: 59017.43 H NULL  2215.113 889.296 19.137 0.436 0x00
OBS: 59022.27 H NULL  2170.373 328.098 19.159 0.164 0x00
END:
