SURVEY:  DEHVILS
SNID:  2020kku
RA:        263.1405120  deg
DECL:       15.7358800  deg
MWEBV:    0.092 +- 0.005 MW E(B-V)
REDSHIFT_HELIO: 0.084701 +- 0.0001
REDSHIFT_FINAL: 0.084541 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 58995.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 29
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58990.49 Y NULL  2411.686 91.039 19.044 0.040 0x00
OBS: 58991.40 Y NULL  2206.707 113.253 19.141 0.054 0x00
OBS: 58994.43 Y NULL  2341.213 101.583 19.076 0.046 0x00
OBS: 58999.57 Y NULL  1665.852 76.949 19.446 0.049 0x00
OBS: 59004.30 Y NULL  1434.291 127.659 19.608 0.094 0x00
OBS: 59009.48 Y NULL  1418.186 77.956 19.621 0.058 0x00
OBS: 59014.50 Y NULL  1783.729 76.960 19.372 0.046 0x00
OBS: 59022.43 Y NULL  2264.525 72.526 19.113 0.034 0x00
OBS: 59028.39 Y NULL  1674.229 96.020 19.44 0.061 0x00
OBS: 59035.46 Y NULL  1240.126 120.858 19.766 0.103 0x00
OBS: 58990.40 J NULL  1839.946 265.884 19.338 0.157 0x00
OBS: 58993.37 J NULL  1550.736 282.682 19.524 0.198 0x00
OBS: 58999.58 J NULL  793.489 225.503 20.251 0.309 0x00
OBS: 59004.31 J NULL  494.815 266.708 20.764 0.585 0x00
OBS: 59009.48 J NULL  702.016 174.531 20.384 0.270 0x00
OBS: 59014.51 J NULL  807.324 186.537 20.232 0.251 0x00
OBS: 59022.44 J NULL  1555.894 196.327 19.520 0.137 0x00
OBS: 59028.39 J NULL  968.160 364.179 20.035 0.408 0x00
OBS: 59035.46 J NULL  174.727 320.541 21.894 1.992 0x00
OBS: 58990.49 H NULL  1211.278 309.744 19.792 0.278 0x00
OBS: 58991.40 H NULL  2118.817 312.486 19.185 0.160 0x00
OBS: 58994.43 H NULL  1423.212 344.731 19.617 0.263 0x00
OBS: 58999.57 H NULL  1636.042 282.660 19.466 0.188 0x00
OBS: 59004.31 H NULL  601.211 459.860 20.552 0.830 0x00
OBS: 59009.49 H NULL  583.073 321.706 20.586 0.599 0x00
OBS: 59014.51 H NULL  494.512 251.885 20.765 0.553 0x00
OBS: 59022.44 H NULL  1625.605 313.127 19.472 0.209 0x00
OBS: 59028.40 H NULL  1530.231 299.538 19.538 0.213 0x00
OBS: 59035.47 H NULL  269.438 427.172 21.424 1.721 0x00
END:
