SURVEY:  DEHVILS
SNID:  2020kpx
RA:        234.5422920  deg
DECL:       4.7806690  deg
MWEBV:    0.045 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.022909 +- 0.0001
REDSHIFT_FINAL: 0.023392 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59005.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 24
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58991.36 Y NULL  4233.720 138.292 18.433 0.035 0x00
OBS: 58994.36 Y NULL  12960.632 174.542 17.218 0.014 0x00
OBS: 59000.46 Y NULL  26843.932 127.759 16.428 0.005 0x00
OBS: 59005.36 Y NULL  19434.336 129.793 16.779 0.007 0x00
OBS: 59011.35 Y NULL  13117.745 134.956 17.205 0.011 0x00
OBS: 59017.46 Y NULL  12901.526 130.665 17.223 0.011 0x00
OBS: 59029.33 Y NULL  28100.576 168.673 16.378 0.006 0x00
OBS: 59034.44 Y NULL  22782.135 151.350 16.606 0.007 0x00
OBS: 58991.43 J NULL  5261.244 143.399 18.197 0.030 0x00
OBS: 58994.38 J NULL  15111.422 189.889 17.052 0.014 0x00
OBS: 59000.47 J NULL  30105.286 339.057 16.303 0.012 0x00
OBS: 59005.37 J NULL  22291.767 206.159 16.630 0.010 0x00
OBS: 59011.35 J NULL  8719.930 191.810 17.649 0.024 0x00
OBS: 59017.46 J NULL  5179.238 196.353 18.214 0.041 0x00
OBS: 59029.33 J NULL  11013.305 219.514 17.395 0.022 0x00
OBS: 59034.45 J NULL  7584.077 288.848 17.800 0.041 0x00
OBS: 58991.36 H NULL  6202.517 489.043 18.019 0.086 0x00
OBS: 58994.37 H NULL  15226.619 617.896 17.043 0.044 0x00
OBS: 59000.47 H NULL  25462.878 515.251 16.485 0.022 0x00
OBS: 59005.37 H NULL  19459.708 463.116 16.777 0.026 0x00
OBS: 59011.35 H NULL  15197.990 423.640 17.046 0.030 0x00
OBS: 59017.47 H NULL  14013.779 556.257 17.134 0.043 0x00
OBS: 59029.33 H NULL  19802.002 577.843 16.758 0.032 0x00
OBS: 59034.45 H NULL  14036.038 748.675 17.132 0.058 0x00
END:
