SURVEY:  DEHVILS
SNID:  2020kqv
RA:        312.2625040  deg
DECL:       -31.7310720  deg
MWEBV:    0.054 +- 0.003 MW E(B-V)
REDSHIFT_HELIO: 0.074988 +- 0.0001
REDSHIFT_FINAL: 0.074164 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 58998.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 22
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58992.62 Y NULL  3342.062 141.008 18.69 0.045 0x00
OBS: 58995.61 Y NULL  3315.150 884.735 18.699 0.282 0x00
OBS: 58999.59 Y NULL  2082.842 111.652 19.203 0.057 0x00
OBS: 59003.58 Y NULL  1790.129 113.372 19.368 0.067 0x00
OBS: 59012.56 Y NULL  1448.233 130.379 19.598 0.095 0x00
OBS: 59017.61 Y NULL  1575.569 110.265 19.506 0.074 0x00
OBS: 59022.52 Y NULL  1997.648 124.847 19.249 0.066 0x00
OBS: 59029.49 Y NULL  2394.719 111.930 19.052 0.049 0x00
OBS: 59034.56 Y NULL  2080.519 153.287 19.205 0.078 0x00
OBS: 59012.57 J NULL  1184.411 254.635 19.816 0.233 0x00
OBS: 59017.62 J NULL  1090.399 201.910 19.906 0.201 0x00
OBS: 59022.52 J NULL  1170.376 209.354 19.829 0.194 0x00
OBS: 59029.49 J NULL  1782.681 223.329 19.372 0.136 0x00
OBS: 59034.56 J NULL  1027.313 236.493 19.971 0.250 0x00
OBS: 58992.62 H NULL  2616.516 511.589 18.956 0.212 0x00
OBS: 58995.62 H NULL  2279.421 708.257 19.105 0.337 0x00
OBS: 58999.60 H NULL  1194.577 444.135 19.807 0.404 0x00
OBS: 59003.59 H NULL  1211.206 402.192 19.792 0.361 0x00
OBS: 59012.57 H NULL  798.793 549.083 20.244 0.746 0x00
OBS: 59017.62 H NULL  784.548 411.276 20.263 0.569 0x00
OBS: 59029.50 H NULL  1611.169 363.923 19.482 0.245 0x00
OBS: 59034.57 H NULL  1102.610 456.612 19.894 0.450 0x00
END:
