SURVEY:  DEHVILS
SNID:  2020kru
RA:        288.8995960  deg
DECL:       53.3393050  deg
MWEBV:    0.068 +- 0.003 MW E(B-V)
REDSHIFT_HELIO: 0.027142 +- 0.0001
REDSHIFT_FINAL: 0.026633 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 58997.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 19
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58992.52 Y NULL  8888.778 115.308 17.628 0.014 0x00
OBS: 59003.55 Y NULL  3866.454 111.543 18.532 0.030 0x00
OBS: 59007.46 Y NULL  2898.235 121.664 18.845 0.044 0x00
OBS: 59012.47 Y NULL  3299.240 113.110 18.704 0.036 0x00
OBS: 59020.56 Y NULL  5553.865 84.959 18.139 0.016 0x00
OBS: 59029.47 Y NULL  6800.810 102.539 17.919 0.016 0x00
OBS: 59034.57 Y NULL  5022.981 141.416 18.248 0.030 0x00
OBS: 58992.53 J NULL  11693.154 322.294 17.330 0.030 0x00
OBS: 59012.48 J NULL  1880.453 352.908 19.314 0.204 0x00
OBS: 59020.56 J NULL  1795.793 260.158 19.364 0.157 0x00
OBS: 59029.47 J NULL  2614.177 342.154 18.957 0.142 0x00
OBS: 59034.58 J NULL  1428.414 320.101 19.613 0.243 0x00
OBS: 58992.53 H NULL  12376.347 434.109 17.269 0.038 0x00
OBS: 59003.56 H NULL  6082.564 332.510 18.040 0.059 0x00
OBS: 59007.46 H NULL  5736.969 340.689 18.103 0.064 0x00
OBS: 59012.48 H NULL  6221.008 318.328 18.015 0.056 0x00
OBS: 59020.56 H NULL  7907.062 275.809 17.755 0.038 0x00
OBS: 59029.47 H NULL  6654.277 344.450 17.942 0.056 0x00
OBS: 59034.58 H NULL  3813.156 352.940 18.547 0.100 0x00
END:
