SURVEY:  DEHVILS
SNID:  2020krw
RA:        225.6912880  deg
DECL:       58.5348090  deg
MWEBV:    0.008 +- 0.000 MW E(B-V)
REDSHIFT_HELIO: 0.075716 +- 0.0001
REDSHIFT_FINAL: 0.075946 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 58999.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 16
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58992.38 Y NULL  2117.272 101.148 19.186 0.051 0x00
OBS: 58995.40 Y NULL  2605.034 97.632 18.96 0.040 0x00
OBS: 59000.42 Y NULL  1893.455 104.683 19.307 0.058 0x00
OBS: 59007.40 Y NULL  1695.919 120.453 19.426 0.075 0x00
OBS: 59012.35 Y NULL  1335.085 114.435 19.686 0.091 0x00
OBS: 59013.29 Y NULL  1114.980 129.027 19.882 0.122 0x00
OBS: 59025.33 Y NULL  1768.484 86.441 19.381 0.052 0x00
OBS: 58992.27 J NULL  2087.013 283.504 19.201 0.147 0x00
OBS: 59007.40 J NULL  -13043.330 31556.655 30.0 -2.627 0x00
OBS: 59025.33 J NULL  -1174.924 37278.422 30.0 -34.449 0x00
OBS: 58992.39 H NULL  1328.949 335.040 19.691 0.274 0x00
OBS: 58995.40 H NULL  1469.219 294.212 19.582 0.217 0x00
OBS: 59000.42 H NULL  1359.837 293.738 19.666 0.235 0x00
OBS: 59007.41 H NULL  -78.379 431.133 30.0 -5.972 0x00
OBS: 59013.30 H NULL  1039.311 314.424 19.958 0.328 0x00
OBS: 59025.34 H NULL  1161.687 264.337 19.837 0.247 0x00
END:
