SURVEY:  DEHVILS
SNID:  2020kyx
RA:        243.4396250  deg
DECL:       22.9206610  deg
MWEBV:    0.078 +- 0.004 MW E(B-V)
REDSHIFT_HELIO: 0.031915 +- 0.0001
REDSHIFT_FINAL: 0.032146 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59009.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 21
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59003.44 Y NULL  16319.585 117.933 16.968 0.008 0x00
OBS: 59006.45 Y NULL  14450.956 105.455 17.1 0.008 0x00
OBS: 59011.36 Y NULL  10233.621 158.250 17.475 0.016 0x00
OBS: 59021.37 Y NULL  8170.850 112.820 17.719 0.015 0x00
OBS: 59026.26 Y NULL  10766.675 121.417 17.419999999999998 0.012 0x00
OBS: 59031.46 Y NULL  14542.097 125.635 17.093 0.009 0x00
OBS: 59037.36 Y NULL  19340.249 113.466 16.784 0.006 0x00
OBS: 59003.45 J NULL  18607.942 413.590 16.826 0.024 0x00
OBS: 59006.48 J NULL  16582.708 316.675 16.951 0.021 0x00
OBS: 59011.45 J NULL  12954.089 351.799 17.219 0.029 0x00
OBS: 59021.37 J NULL  3847.699 189.985 18.537 0.054 0x00
OBS: 59026.27 J NULL  4248.103 317.672 18.430 0.081 0x00
OBS: 59031.47 J NULL  5718.557 259.563 18.107 0.049 0x00
OBS: 59037.37 J NULL  7941.061 367.740 17.750 0.050 0x00
OBS: 59003.44 H NULL  14010.200 418.474 17.134 0.032 0x00
OBS: 59006.46 H NULL  12186.601 348.881 17.285 0.031 0x00
OBS: 59011.36 H NULL  9896.285 425.822 17.511 0.047 0x00
OBS: 59021.37 H NULL  7026.037 360.082 17.883 0.056 0x00
OBS: 59026.27 H NULL  9543.556 317.548 17.551 0.036 0x00
OBS: 59031.47 H NULL  12313.848 445.045 17.274 0.039 0x00
OBS: 59037.37 H NULL  12490.471 372.338 17.259 0.032 0x00
END:
