SURVEY:  DEHVILS
SNID:  2020kzn
RA:        234.5481790  deg
DECL:       3.0278330  deg
MWEBV:    0.050 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.077754 +- 0.0001
REDSHIFT_FINAL: 0.078269 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59001.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 28
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58995.47 Y NULL  3319.756 254.057 18.697 0.081 0x00
OBS: 59000.50 Y NULL  3469.821 154.390 18.649 0.047 0x00
OBS: 59003.38 Y NULL  224.458 156.198 21.622 0.736 0x00
OBS: 59007.43 Y NULL  3352.446 147.137 18.687 0.046 0x00
OBS: 59010.41 Y NULL  142.131 129.455 22.118 0.963 0x00
OBS: 59015.33 Y NULL  4288.555 124.723 18.419 0.031 0x00
OBS: 59021.33 Y NULL  4046.116 149.064 18.482 0.039 0x00
OBS: 59026.30 Y NULL  4167.270 113.481 18.45 0.029 0x00
OBS: 59034.43 Y NULL  199.418 170.795 21.751 0.905 0x00
OBS: 59041.36 Y NULL  457.261 138.808 20.85 0.321 0x00
OBS: 59041.39 Y NULL  1774.642 120.901 19.377 0.072 0x00
OBS: 59015.34 J NULL  5499.283 240.422 18.149 0.047 0x00
OBS: 59021.33 J NULL  4219.300 257.198 18.437 0.066 0x00
OBS: 59026.30 J NULL  5007.283 245.703 18.251 0.053 0x00
OBS: 59034.43 J NULL  1830.712 284.009 19.343 0.168 0x00
OBS: 59041.36 J NULL  274.845 298.689 21.402 1.180 0x00
OBS: 59041.39 J NULL  562.338 303.264 20.625 0.586 0x00
OBS: 58995.48 H NULL  1213.933 769.919 19.790 0.689 0x00
OBS: 59000.51 H NULL  1963.581 582.904 19.267 0.322 0x00
OBS: 59003.39 H NULL  17831.893 361.669 16.872 0.022 0x00
OBS: 59007.43 H NULL  16246.826 440.038 16.973 0.029 0x00
OBS: 59010.42 H NULL  8956.619 381.641 17.620 0.046 0x00
OBS: 59015.34 H NULL  1515.276 485.651 19.549 0.348 0x00
OBS: 59021.34 H NULL  1365.404 483.530 19.662 0.384 0x00
OBS: 59026.30 H NULL  2628.372 542.754 18.951 0.224 0x00
OBS: 59034.44 H NULL  15631.567 451.299 17.015 0.031 0x00
OBS: 59041.37 H NULL  5975.850 454.717 18.059 0.083 0x00
OBS: 59041.40 H NULL  1016.580 435.686 19.982 0.465 0x00
END:
