SURVEY:  DEHVILS
SNID:  2020lfe
RA:        357.0759480  deg
DECL:       33.1489660  deg
MWEBV:    0.050 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.036485 +- 0.0001
REDSHIFT_FINAL: 0.035353 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59009.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 24
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59003.59 Y NULL  9986.210 128.192 17.501 0.014 0x00
OBS: 59010.61 Y NULL  7892.771 123.430 17.757 0.017 0x00
OBS: 59015.56 Y NULL  5648.297 117.377 18.12 0.022 0x00
OBS: 59020.61 Y NULL  4767.355 96.631 18.304 0.021 0x00
OBS: 59027.59 Y NULL  5661.289 109.091 18.118 0.020 0x00
OBS: 59035.61 Y NULL  8754.150 118.919 17.644 0.014 0x00
OBS: 59040.55 Y NULL  10553.550 118.258 17.442 0.012 0x00
OBS: 59048.57 Y NULL  7569.471 164.153 17.802 0.023 0x00
OBS: 59003.62 J NULL  10457.324 308.974 17.451 0.032 0x00
OBS: 59010.60 J NULL  7667.920 221.607 17.788 0.031 0x00
OBS: 59015.55 J NULL  5450.393 312.935 18.159 0.062 0x00
OBS: 59020.62 J NULL  2299.417 176.590 19.096 0.083 0x00
OBS: 59027.59 J NULL  2329.436 177.982 19.082 0.083 0x00
OBS: 59035.61 J NULL  3116.798 207.185 18.766 0.072 0x00
OBS: 59040.55 J NULL  4263.558 239.395 18.426 0.061 0x00
OBS: 59048.57 J NULL  2701.172 266.979 18.921 0.107 0x00
OBS: 59003.60 H NULL  8955.944 416.646 17.620 0.051 0x00
OBS: 59010.62 H NULL  6063.398 369.110 18.043 0.066 0x00
OBS: 59015.56 H NULL  6443.311 441.787 17.977 0.074 0x00
OBS: 59020.62 H NULL  4889.454 261.843 18.277 0.058 0x00
OBS: 59027.60 H NULL  5331.214 337.457 18.183 0.069 0x00
OBS: 59035.61 H NULL  7398.816 366.271 17.827 0.054 0x00
OBS: 59040.56 H NULL  6665.898 386.432 17.940 0.063 0x00
OBS: 59048.58 H NULL  4550.752 315.296 18.355 0.075 0x00
END:
