SURVEY:  DEHVILS
SNID:  2020lil
RA:        219.4985830  deg
DECL:       9.3885390  deg
MWEBV:    0.033 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.030715 +- 0.0001
REDSHIFT_FINAL: 0.031464 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59012.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 21
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59003.34 Y NULL  9058.207 107.248 17.607 0.013 0x00
OBS: 59006.30 Y NULL  12384.502 86.362 17.268 0.007 0x00
OBS: 59013.33 Y NULL  9030.708 95.666 17.611 0.011 0x00
OBS: 59022.27 Y NULL  5974.213 78.768 18.059 0.014 0x00
OBS: 59028.30 Y NULL  6976.662 123.158 17.891 0.019 0x00
OBS: 59033.33 Y NULL  9731.452 108.438 17.53 0.012 0x00
OBS: 59044.36 Y NULL  9165.820 127.199 17.595 0.015 0x00
OBS: 59003.35 J NULL  9879.034 153.046 17.513 0.017 0x00
OBS: 59006.31 J NULL  13033.185 148.839 17.212 0.012 0x00
OBS: 59012.33 J NULL  10055.879 277.415 17.494 0.030 0x00
OBS: 59022.27 J NULL  2825.235 172.568 18.872 0.066 0x00
OBS: 59028.30 J NULL  2671.572 213.322 18.933 0.087 0x00
OBS: 59033.33 J NULL  3580.603 183.871 18.615 0.056 0x00
OBS: 59044.36 J NULL  2640.446 274.601 18.946 0.113 0x00
OBS: 59003.35 H NULL  9811.059 293.848 17.521 0.033 0x00
OBS: 59006.30 H NULL  11165.274 284.378 17.380 0.028 0x00
OBS: 59013.34 H NULL  8641.186 194.916 17.659 0.024 0x00
OBS: 59022.28 H NULL  6179.050 233.140 18.023 0.041 0x00
OBS: 59028.31 H NULL  7322.821 428.134 17.838 0.063 0x00
OBS: 59033.34 H NULL  8665.310 241.522 17.656 0.030 0x00
OBS: 59044.37 H NULL  4251.675 499.238 18.429 0.127 0x00
END:
