SURVEY:  DEHVILS
SNID:  2020lsc
RA:        243.5156250  deg
DECL:       14.2826390  deg
MWEBV:    0.046 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.030294 +- 0.0001
REDSHIFT_FINAL: 0.030561 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59018.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 18
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59011.38 Y NULL  15940.258 107.904 16.994 0.007 0x00
OBS: 59014.49 Y NULL  15671.789 156.511 17.012 0.011 0x00
OBS: 59017.53 Y NULL  13343.117 137.896 17.187 0.011 0x00
OBS: 59027.31 Y NULL  8554.941 95.536 17.669 0.012 0x00
OBS: 59035.43 Y NULL  11001.511 122.221 17.396 0.012 0x00
OBS: 59040.36 Y NULL  14270.690 198.498 17.114 0.015 0x00
OBS: 59009.50 J NULL  14885.454 264.651 17.068 0.019 0x00
OBS: 59013.32 J NULL  18329.760 247.608 16.842 0.015 0x00
OBS: 59017.54 J NULL  15961.892 332.993 16.992 0.023 0x00
OBS: 59027.32 J NULL  5635.987 250.224 18.123 0.048 0x00
OBS: 59035.43 J NULL  4157.794 291.856 18.453 0.076 0x00
OBS: 59040.37 J NULL  5282.526 273.348 18.193 0.056 0x00
OBS: 59011.38 H NULL  14436.878 319.743 17.101 0.024 0x00
OBS: 59014.50 H NULL  14618.702 423.609 17.088 0.031 0x00
OBS: 59017.53 H NULL  12296.683 348.170 17.276 0.031 0x00
OBS: 59027.32 H NULL  8483.623 284.697 17.679 0.036 0x00
OBS: 59035.43 H NULL  9999.417 385.527 17.500 0.042 0x00
OBS: 59040.37 H NULL  11837.368 333.095 17.317 0.031 0x00
END:
