SURVEY:  DEHVILS
SNID:  2020lwj
RA:        230.7101250  deg
DECL:       16.6060500  deg
MWEBV:    0.026 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.061635 +- 0.0001
REDSHIFT_FINAL: 0.062160 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59015.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 17
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59012.34 Y NULL  6716.003 95.925 17.932 0.015 0x00
OBS: 59015.28 Y NULL  5962.616 153.377 18.061 0.027 0x00
OBS: 59015.32 Y NULL  5969.927 102.245 18.06 0.018 0x00
OBS: 59024.27 Y NULL  2960.820 107.045 18.821 0.038 0x00
OBS: 59033.36 Y NULL  3563.202 92.285 18.62 0.027 0x00
OBS: 59048.38 Y NULL  4488.847 110.440 18.37 0.026 0x00
OBS: 59010.45 J NULL  7262.944 283.437 17.847 0.042 0x00
OBS: 59013.32 J NULL  7326.222 495.257 17.838 0.073 0x00
OBS: 59017.48 J NULL  4590.136 381.225 18.345 0.090 0x00
OBS: 59033.37 J NULL  2076.055 311.850 19.207 0.163 0x00
OBS: 59048.39 J NULL  2501.628 286.252 19.004 0.124 0x00
OBS: 59012.35 H NULL  5656.362 301.938 18.119 0.058 0x00
OBS: 59015.29 H NULL  5145.596 400.040 18.221 0.084 0x00
OBS: 59015.33 H NULL  4666.308 310.743 18.328 0.072 0x00
OBS: 59024.27 H NULL  2648.869 312.677 18.942 0.128 0x00
OBS: 59033.37 H NULL  3476.077 275.865 18.647 0.086 0x00
OBS: 59048.39 H NULL  3427.657 368.468 18.663 0.117 0x00
END:
