SURVEY:  DEHVILS
SNID:  2020mbf
RA:        305.8863330  deg
DECL:       19.7111000  deg
MWEBV:    0.154 +- 0.008 MW E(B-V)
REDSHIFT_HELIO: 0.047349 +- 0.0001
REDSHIFT_FINAL: 0.046401 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59020.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 27
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59012.49 Y NULL  7475.100 108.003 17.816 0.015 0x00
OBS: 59015.44 Y NULL  8753.519 101.038 17.645 0.012 0x00
OBS: 59020.55 Y NULL  8073.591 90.682 17.732 0.012 0x00
OBS: 59026.47 Y NULL  7623.753 92.157 17.794999999999998 0.013 0x00
OBS: 59031.45 Y NULL  7495.007 116.558 17.813 0.016 0x00
OBS: 59036.61 Y NULL  8075.233 102.316 17.732 0.013 0x00
OBS: 59041.40 Y NULL  8999.198 102.860 17.614 0.012 0x00
OBS: 59047.54 Y NULL  9049.066 136.409 17.608 0.016 0x00
OBS: 59054.47 Y NULL  6836.858 98.568 17.913 0.015 0x00
OBS: 59010.52 J NULL  6378.775 189.576 17.988 0.032 0x00
OBS: 59013.48 J NULL  8241.386 206.763 17.710 0.027 0x00
OBS: 59017.63 J NULL  9386.155 189.488 17.569 0.022 0x00
OBS: 59026.48 J NULL  7129.978 194.809 17.867 0.030 0x00
OBS: 59031.45 J NULL  6301.672 248.781 18.001 0.043 0x00
OBS: 59036.61 J NULL  5932.401 193.097 18.067 0.035 0x00
OBS: 59041.41 J NULL  6047.461 257.564 18.046 0.046 0x00
OBS: 59047.54 J NULL  5756.016 438.155 18.100 0.083 0x00
OBS: 59054.47 J NULL  3818.573 228.509 18.545 0.065 0x00
OBS: 59012.49 H NULL  5937.766 341.218 18.066 0.062 0x00
OBS: 59015.45 H NULL  6904.053 390.605 17.902 0.061 0x00
OBS: 59020.55 H NULL  7742.477 272.931 17.778 0.038 0x00
OBS: 59026.48 H NULL  6691.142 302.771 17.936 0.049 0x00
OBS: 59031.46 H NULL  6478.069 353.515 17.971 0.059 0x00
OBS: 59036.62 H NULL  7278.703 350.223 17.845 0.052 0x00
OBS: 59041.41 H NULL  7199.004 306.463 17.857 0.046 0x00
OBS: 59047.55 H NULL  6888.443 366.357 17.905 0.058 0x00
OBS: 59054.48 H NULL  4710.124 369.132 18.317 0.085 0x00
END:
