SURVEY:  DEHVILS
SNID:  2020mby
RA:        269.9686670  deg
DECL:       50.4909190  deg
MWEBV:    0.037 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.053940 +- 0.0001
REDSHIFT_FINAL: 0.053648 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59023.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 18
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59017.57 Y NULL  6291.850 88.409 18.003 0.015 0x00
OBS: 59024.42 Y NULL  4295.888 94.497 18.417 0.023 0x00
OBS: 59028.35 Y NULL  3398.776 119.623 18.672 0.037 0x00
OBS: 59036.48 Y NULL  2392.701 100.635 19.053 0.044 0x00
OBS: 59041.42 Y NULL  2881.636 97.084 18.851 0.036 0x00
OBS: 59058.35 Y NULL  4332.972 118.645 18.408 0.029 0x00
OBS: 59017.58 J NULL  4838.447 324.953 18.288 0.073 0x00
OBS: 59028.36 J NULL  2022.379 270.929 19.235 0.145 0x00
OBS: 59036.49 J NULL  484.880 344.130 20.786 0.771 0x00
OBS: 59040.39 J NULL  -302.043 262.793 30.0 -0.945 0x00
OBS: 59041.43 J NULL  303.006 339.765 21.296 1.217 0x00
OBS: 59058.35 J NULL  1216.823 336.279 19.787 0.300 0x00
OBS: 59017.58 H NULL  4457.009 323.307 18.377 0.079 0x00
OBS: 59024.42 H NULL  3608.112 322.872 18.607 0.097 0x00
OBS: 59028.36 H NULL  4198.847 431.467 18.442 0.112 0x00
OBS: 59036.49 H NULL  904.092 334.731 20.109 0.402 0x00
OBS: 59041.43 H NULL  1396.849 388.081 19.637 0.302 0x00
OBS: 59058.36 H NULL  1281.838 370.708 19.730 0.314 0x00
END:
