SURVEY:  DEHVILS
SNID:  2020mdd
RA:        237.9741880  deg
DECL:       34.0733870  deg
MWEBV:    0.031 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.048779 +- 0.0001
REDSHIFT_FINAL: 0.049055 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59017.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 19
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59012.44 Y NULL  7374.538 193.011 17.831 0.028 0x00
OBS: 59015.37 Y NULL  5998.238 156.519 18.055 0.028 0x00
OBS: 59024.43 Y NULL  4082.461 158.388 18.473 0.041 0x00
OBS: 59033.38 Y NULL  4902.057 136.359 18.274 0.029 0x00
OBS: 59038.27 Y NULL  5758.935 142.123 18.099 0.026 0x00
OBS: 59054.31 Y NULL  3030.264 140.467 18.796 0.049 0x00
OBS: 59012.50 J NULL  184.755 312.424 21.834 1.836 0x00
OBS: 59015.38 J NULL  183.731 331.031 21.840 1.956 0x00
OBS: 59024.44 J NULL  29.977 244.044 23.808 8.839 0x00
OBS: 59033.42 J NULL  190.306 254.880 21.801 1.454 0x00
OBS: 59038.28 J NULL  120.978 230.232 22.293 2.066 0x00
OBS: 59054.31 J NULL  136.401 257.777 22.163 2.052 0x00
OBS: 59012.44 H NULL  10374.713 315.701 17.460 0.033 0x00
OBS: 59015.37 H NULL  7477.981 336.711 17.816 0.049 0x00
OBS: 59024.43 H NULL  5566.099 315.998 18.136 0.062 0x00
OBS: 59033.39 H NULL  175.222 362.730 21.891 2.248 0x00
OBS: 59033.42 H NULL  1326.920 371.296 19.693 0.304 0x00
OBS: 59038.27 H NULL  8066.845 289.244 17.733 0.039 0x00
OBS: 59054.32 H NULL  12547.757 230.560 17.254 0.020 0x00
END:
