SURVEY:  DEHVILS
SNID:  2020mnv
RA:        250.1826250  deg
DECL:       40.4144310  deg
MWEBV:    0.011 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.025885 +- 0.0001
REDSHIFT_FINAL: 0.025915 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59028.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 21
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59017.55 Y NULL  13392.948 104.625 17.183 0.008 0x00
OBS: 59024.40 Y NULL  23620.716 106.437 16.567 0.005 0x00
OBS: 59027.34 Y NULL  19505.803 100.338 16.775 0.005 0x00
OBS: 59032.43 Y NULL  13826.801 103.182 17.148 0.008 0x00
OBS: 59037.39 Y NULL  11215.898 83.490 17.375 0.008 0x00
OBS: 59048.44 Y NULL  16590.660 151.112 16.95 0.010 0x00
OBS: 59058.32 Y NULL  23945.334 147.086 16.552 0.006 0x00
OBS: 59017.56 J NULL  14374.314 162.005 17.106 0.012 0x00
OBS: 59024.41 J NULL  25489.178 201.056 16.484 0.009 0x00
OBS: 59029.38 J NULL  19736.450 193.421 16.762 0.011 0x00
OBS: 59032.44 J NULL  15469.436 189.110 17.026 0.013 0x00
OBS: 59037.39 J NULL  7558.747 201.404 17.804 0.029 0x00
OBS: 59048.44 J NULL  5890.838 211.400 18.075 0.039 0x00
OBS: 59058.33 J NULL  9660.813 245.156 17.537 0.028 0x00
OBS: 59017.56 H NULL  13403.961 377.153 17.182 0.031 0x00
OBS: 59024.41 H NULL  20623.244 378.012 16.714 0.020 0x00
OBS: 59027.34 H NULL  18171.149 361.747 16.852 0.022 0x00
OBS: 59032.44 H NULL  14640.536 389.934 17.086 0.029 0x00
OBS: 59037.40 H NULL  12733.691 362.847 17.238 0.031 0x00
OBS: 59048.45 H NULL  15178.493 419.167 17.047 0.030 0x00
OBS: 59058.33 H NULL  16720.269 402.596 16.942 0.026 0x00
END:
