SURVEY:  DEHVILS
SNID:  2020mvp
RA:        218.9439170  deg
DECL:       24.7262310  deg
MWEBV:    0.027 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.036580 +- 0.0001
REDSHIFT_FINAL: 0.037241 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59028.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 22
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59024.29 Y NULL  9166.167 109.413 17.595 0.013 0x00
OBS: 59027.27 Y NULL  7399.396 111.131 17.826999999999998 0.016 0x00
OBS: 59030.28 Y NULL  6024.236 112.129 18.05 0.020 0x00
OBS: 59035.40 Y NULL  4509.823 152.413 18.365 0.036 0x00
OBS: 59041.33 Y NULL  4421.282 184.410 18.386 0.044 0x00
OBS: 59048.30 Y NULL  6621.482 127.065 17.948 0.020 0x00
OBS: 59064.33 Y NULL  7303.010 142.911 17.841 0.021 0x00
OBS: 59021.40 J NULL  9724.916 295.250 17.530 0.033 0x00
OBS: 59024.30 J NULL  10402.060 224.749 17.457 0.023 0x00
OBS: 59027.31 J NULL  8926.565 331.492 17.623 0.040 0x00
OBS: 59035.41 J NULL  3859.665 220.983 18.534 0.062 0x00
OBS: 59041.34 J NULL  1605.270 176.083 19.486 0.119 0x00
OBS: 59048.31 J NULL  2410.586 236.908 19.045 0.107 0x00
OBS: 59064.34 J NULL  2691.894 326.624 18.925 0.132 0x00
OBS: 59020.28 H NULL  8760.525 367.187 17.644 0.046 0x00
OBS: 59024.30 H NULL  9086.693 408.159 17.604 0.049 0x00
OBS: 59027.28 H NULL  7699.908 390.936 17.784 0.055 0x00
OBS: 59030.29 H NULL  6606.656 497.097 17.950 0.082 0x00
OBS: 59035.40 H NULL  4877.509 526.981 18.280 0.117 0x00
OBS: 59041.33 H NULL  5096.184 470.002 18.232 0.100 0x00
OBS: 59048.31 H NULL  6933.446 498.175 17.898 0.078 0x00
OBS: 59064.34 H NULL  4957.683 514.877 18.262 0.113 0x00
END:
