SURVEY:  DEHVILS
SNID:  2020naj
RA:        209.9127500  deg
DECL:       29.7101190  deg
MWEBV:    0.012 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.057356 +- 0.0001
REDSHIFT_FINAL: 0.058114 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59036.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 13
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59030.24 Y NULL  6876.209 113.800 17.907 0.017 0x00
OBS: 59040.28 Y NULL  7547.605 124.336 17.805 0.017 0x00
OBS: 59044.35 Y NULL  7085.827 154.312 17.874 0.023 0x00
OBS: 59027.29 J NULL  5682.096 147.409 18.114 0.028 0x00
OBS: 59030.26 J NULL  6261.311 219.943 18.008 0.038 0x00
OBS: 59033.26 J NULL  6669.956 212.104 17.940 0.035 0x00
OBS: 59040.29 J NULL  7388.489 260.428 17.829 0.038 0x00
OBS: 59044.36 J NULL  6463.059 246.493 17.974 0.041 0x00
OBS: 59027.29 H NULL  7000.093 391.052 17.887 0.061 0x00
OBS: 59030.25 H NULL  6590.988 309.321 17.953 0.051 0x00
OBS: 59033.26 H NULL  6430.721 312.700 17.979 0.053 0x00
OBS: 59040.28 H NULL  7142.138 433.787 17.865 0.066 0x00
OBS: 59044.35 H NULL  7544.612 505.418 17.806 0.073 0x00
END:
