SURVEY:  DEHVILS
SNID:  2020nbo
RA:        239.5589580  deg
DECL:       18.1027890  deg
MWEBV:    0.035 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.050000 +- 0.0001
REDSHIFT_FINAL: 0.050337 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59029.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 15
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59024.28 Y NULL  4974.457 102.108 18.258 0.022 0x00
OBS: 59028.33 Y NULL  5157.190 109.786 18.219 0.023 0x00
OBS: 59034.47 Y NULL  3842.421 146.892 18.538 0.040 0x00
OBS: 59040.34 Y NULL  3460.466 154.312 18.652 0.047 0x00
OBS: 59062.29 Y NULL  2301.548 101.400 19.095 0.047 0x00
OBS: 59022.46 J NULL  4542.793 197.491 18.357 0.047 0x00
OBS: 59028.35 J NULL  4644.702 169.732 18.333 0.040 0x00
OBS: 59034.48 J NULL  2053.713 322.727 19.219 0.171 0x00
OBS: 59040.35 J NULL  1425.684 266.905 19.615 0.203 0x00
OBS: 59062.30 J NULL  733.390 244.495 20.337 0.362 0x00
OBS: 59024.28 H NULL  4626.089 271.274 18.337 0.064 0x00
OBS: 59028.34 H NULL  4613.732 340.998 18.340 0.080 0x00
OBS: 59034.47 H NULL  2397.602 526.600 19.051 0.238 0x00
OBS: 59040.34 H NULL  2572.395 287.166 18.974 0.121 0x00
OBS: 59062.30 H NULL  1288.670 315.343 19.725 0.266 0x00
END:
