SURVEY:  DEHVILS
SNID:  2020ndv
RA:        347.4087420  deg
DECL:       12.8300020  deg
MWEBV:    0.076 +- 0.004 MW E(B-V)
REDSHIFT_HELIO: 0.037416 +- 0.0001
REDSHIFT_FINAL: 0.036145 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59034.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 25
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59024.62 Y NULL  8751.171 115.270 17.645 0.014 0x00
OBS: 59027.57 Y NULL  11990.083 83.519 17.303 0.007 0x00
OBS: 59030.62 Y NULL  12563.089 113.990 17.252 0.010 0x00
OBS: 59035.59 Y NULL  8391.223 129.109 17.69 0.016 0x00
OBS: 59040.50 Y NULL  5792.963 134.273 18.093 0.025 0x00
OBS: 59047.56 Y NULL  4495.047 146.016 18.368 0.034 0x00
OBS: 59054.48 Y NULL  5679.108 135.870 18.114 0.025 0x00
OBS: 59059.54 Y NULL  8143.868 87.304 17.723 0.011 0x00
OBS: 59022.58 J NULL  6506.542 185.314 17.967 0.031 0x00
OBS: 59027.58 J NULL  12084.659 218.896 17.294 0.020 0x00
OBS: 59030.63 J NULL  13262.877 184.507 17.193 0.015 0x00
OBS: 59035.59 J NULL  9253.587 241.742 17.584 0.028 0x00
OBS: 59035.60 J NULL  9809.158 199.625 17.521 0.022 0x00
OBS: 59040.51 J NULL  5897.499 183.118 18.073 0.034 0x00
OBS: 59047.57 J NULL  1796.085 229.826 19.364 0.139 0x00
OBS: 59054.49 J NULL  2285.069 215.252 19.103 0.102 0x00
OBS: 59059.55 J NULL  2687.792 126.891 18.927 0.051 0x00
OBS: 59024.62 H NULL  8477.459 350.050 17.679 0.045 0x00
OBS: 59027.58 H NULL  10257.405 373.033 17.472 0.039 0x00
OBS: 59030.62 H NULL  10315.429 538.672 17.466 0.057 0x00
OBS: 59035.60 H NULL  8089.810 484.927 17.730 0.065 0x00
OBS: 59040.51 H NULL  6226.578 442.250 18.014 0.077 0x00
OBS: 59047.56 H NULL  5366.432 573.295 18.176 0.116 0x00
OBS: 59054.49 H NULL  5664.807 520.479 18.117 0.100 0x00
OBS: 59059.54 H NULL  7474.512 513.325 17.816 0.075 0x00
END:
