SURVEY:  DEHVILS
SNID:  2020ned
RA:        3.6102920  deg
DECL:       -24.1693000  deg
MWEBV:    0.018 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.026028 +- 0.0001
REDSHIFT_FINAL: 0.024989 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59035.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 18
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59029.61 Y NULL  9007.886 95.148 17.613 0.011 0x00
OBS: 59036.62 Y NULL  9401.438 172.360 17.567 0.019 0x00
OBS: 59039.61 Y NULL  10112.211 107.685 17.488 0.011 0x00
OBS: 59044.62 Y NULL  9832.267 234.215 17.518 0.025 0x00
OBS: 59059.56 Y NULL  9021.355 78.523 17.612 0.009 0x00
OBS: 59073.58 Y NULL  7504.191 98.561 17.812 0.014 0x00
OBS: 59029.61 J NULL  10526.259 182.449 17.444 0.019 0x00
OBS: 59033.63 J NULL  11479.656 229.986 17.350 0.022 0x00
OBS: 59039.62 J NULL  12019.428 191.846 17.300 0.017 0x00
OBS: 59044.63 J NULL  11788.305 271.678 17.321 0.025 0x00
OBS: 59059.57 J NULL  11204.238 123.517 17.377 0.012 0x00
OBS: 59073.59 J NULL  9452.025 175.440 17.561 0.020 0x00
OBS: 59029.61 H NULL  12182.394 302.448 17.286 0.027 0x00
OBS: 59036.63 H NULL  12349.814 374.781 17.271 0.033 0x00
OBS: 59039.61 H NULL  13782.761 359.064 17.152 0.028 0x00
OBS: 59044.63 H NULL  13881.831 430.440 17.144 0.034 0x00
OBS: 59059.56 H NULL  13443.895 227.096 17.179 0.018 0x00
OBS: 59073.58 H NULL  11090.962 316.622 17.388 0.031 0x00
END:
