SURVEY:  DEHVILS
SNID:  2020nef
RA:        229.9964230  deg
DECL:       20.7131540  deg
MWEBV:    0.061 +- 0.003 MW E(B-V)
REDSHIFT_HELIO: 0.040954 +- 0.0001
REDSHIFT_FINAL: 0.041458 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59030.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 18
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59025.37 Y NULL  13190.479 137.804 17.199 0.011 0x00
OBS: 59028.32 Y NULL  491.031 173.030 20.772 0.373 0x00
OBS: 59033.35 Y NULL  8084.627 145.940 17.731 0.019 0x00
OBS: 59038.30 Y NULL  5902.838 137.379 18.072 0.025 0x00
OBS: 59048.36 Y NULL  174.691 163.616 21.894 0.990 0x00
OBS: 59062.30 Y NULL  8202.447 157.580 17.715 0.020 0x00
OBS: 59025.38 J NULL  626.225 424.346 20.508 0.736 0x00
OBS: 59028.33 J NULL  13746.848 323.987 17.154 0.026 0x00
OBS: 59033.36 J NULL  9454.174 353.241 17.561 0.041 0x00
OBS: 59038.31 J NULL  7732.647 332.557 17.779 0.047 0x00
OBS: 59048.36 J NULL  3978.660 302.377 18.501 0.083 0x00
OBS: 59062.31 J NULL  5925.765 351.217 18.068 0.064 0x00
OBS: 59025.37 H NULL  9190.449 306.860 17.592 0.036 0x00
OBS: 59028.32 H NULL  6987.959 405.907 17.889 0.063 0x00
OBS: 59033.35 H NULL  7555.820 331.931 17.804 0.048 0x00
OBS: 59038.31 H NULL  9799.348 314.940 17.522 0.035 0x00
OBS: 59048.37 H NULL  7095.165 327.941 17.873 0.050 0x00
OBS: 59062.31 H NULL  6156.708 350.981 18.027 0.062 0x00
END:
