SURVEY:  DEHVILS
SNID:  2020npb
RA:        269.9925830  deg
DECL:       44.8626690  deg
MWEBV:    0.036 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.038463 +- 0.0001
REDSHIFT_FINAL: 0.038166 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59042.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 21
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59029.45 Y NULL  5052.831 88.844 18.241 0.019 0x00
OBS: 59037.37 Y NULL  10766.402 80.943 17.419999999999998 0.008 0x00
OBS: 59040.35 Y NULL  9288.004 141.325 17.58 0.016 0x00
OBS: 59048.51 Y NULL  5368.521 179.554 18.175 0.035 0x00
OBS: 59054.32 Y NULL  4734.172 118.296 18.312 0.026 0x00
OBS: 59060.43 Y NULL  5835.837 85.954 18.085 0.016 0x00
OBS: 59065.39 Y NULL  7622.943 79.304 17.794999999999998 0.011 0x00
OBS: 59029.45 J NULL  5440.366 111.313 18.161 0.022 0x00
OBS: 59037.38 J NULL  10995.800 228.217 17.397 0.023 0x00
OBS: 59040.36 J NULL  9783.107 231.776 17.524 0.026 0x00
OBS: 59048.51 J NULL  5778.207 492.286 18.096 0.093 0x00
OBS: 59054.33 J NULL  2265.696 137.441 19.112 0.066 0x00
OBS: 59060.43 J NULL  2186.910 144.425 19.150 0.072 0x00
OBS: 59065.40 J NULL  2714.001 159.025 18.916 0.064 0x00
OBS: 59029.45 H NULL  5114.605 301.356 18.228 0.064 0x00
OBS: 59037.38 H NULL  9704.175 289.113 17.533 0.032 0x00
OBS: 59040.36 H NULL  8058.685 341.433 17.734 0.046 0x00
OBS: 59048.51 H NULL  5791.406 342.128 18.093 0.064 0x00
OBS: 59054.33 H NULL  4867.140 277.777 18.282 0.062 0x00
OBS: 59060.43 H NULL  5786.994 279.367 18.094 0.052 0x00
OBS: 59065.40 H NULL  6741.670 281.214 17.928 0.045 0x00
END:
