SURVEY:  DEHVILS
SNID:  2020npz
RA:        248.9252650  deg
DECL:       7.3841950  deg
MWEBV:    0.071 +- 0.004 MW E(B-V)
REDSHIFT_HELIO: -99.0000 +- 0.0001
REDSHIFT_FINAL: -99.0000 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59035.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 18
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59035.44 Y NULL  3891.315 128.917 18.525 0.035 0x00
OBS: 59038.34 Y NULL  3168.400 76.939 18.748 0.026 0x00
OBS: 59041.34 Y NULL  2453.704 113.889 19.025 0.049 0x00
OBS: 59058.36 Y NULL  2974.882 111.877 18.816 0.040 0x00
OBS: 59064.35 Y NULL  4320.743 111.259 18.411 0.027 0x00
OBS: 59073.25 Y NULL  3067.778 106.877 18.783 0.037 0x00
OBS: 59031.47 J NULL  4601.034 214.787 18.343 0.051 0x00
OBS: 59035.45 J NULL  3600.983 231.620 18.609 0.070 0x00
OBS: 59038.35 J NULL  2765.173 137.676 18.896 0.054 0x00
OBS: 59058.37 J NULL  985.265 231.910 20.016 0.256 0x00
OBS: 59064.35 J NULL  1357.904 192.934 19.668 0.154 0x00
OBS: 59073.26 J NULL  1703.421 219.004 19.422 0.140 0x00
OBS: 59035.45 H NULL  3034.410 403.231 18.795 0.144 0x00
OBS: 59038.34 H NULL  2990.751 273.258 18.811 0.099 0x00
OBS: 59041.35 H NULL  2724.506 303.298 18.912 0.121 0x00
OBS: 59058.37 H NULL  2837.930 380.912 18.867 0.146 0x00
OBS: 59064.36 H NULL  3245.210 402.830 18.722 0.135 0x00
OBS: 59073.26 H NULL  2690.015 330.200 18.926 0.133 0x00
END:
