SURVEY:  DEHVILS
SNID:  2020nst
RA:        327.2928880  deg
DECL:       -27.9694150  deg
MWEBV:    0.030 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.070618 +- 0.0001
REDSHIFT_FINAL: 0.069611 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59032.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 18
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59030.51 Y NULL  3438.142 86.676 18.659 0.027 0x00
OBS: 59036.59 Y NULL  2204.072 181.303 19.142 0.087 0x00
OBS: 59039.53 Y NULL  2897.928 124.305 18.845 0.045 0x00
OBS: 59044.54 Y NULL  3008.550 134.102 18.804 0.047 0x00
OBS: 59055.51 Y NULL  4245.394 95.601 18.43 0.024 0x00
OBS: 59060.41 Y NULL  3572.900 117.850 18.617 0.035 0x00
OBS: 59030.52 J NULL  3958.176 142.675 18.506 0.039 0x00
OBS: 59036.60 J NULL  1517.881 238.588 19.547 0.171 0x00
OBS: 59039.54 J NULL  1622.832 199.335 19.474 0.133 0x00
OBS: 59044.55 J NULL  1020.209 255.052 19.978 0.271 0x00
OBS: 59055.51 J NULL  2000.045 177.088 19.247 0.096 0x00
OBS: 59060.42 J NULL  1731.482 303.344 19.404 0.190 0x00
OBS: 59030.51 H NULL  3969.086 303.954 18.503 0.083 0x00
OBS: 59036.60 H NULL  796.122 452.730 20.248 0.617 0x00
OBS: 59039.53 H NULL  990.670 462.616 20.010 0.507 0x00
OBS: 59044.54 H NULL  1160.998 520.609 19.838 0.487 0x00
OBS: 59055.51 H NULL  3177.584 375.956 18.745 0.128 0x00
OBS: 59060.41 H NULL  3487.827 388.852 18.644 0.121 0x00
END:
