SURVEY:  DEHVILS
SNID:  2020nta
RA:        241.8472900  deg
DECL:       13.8927070  deg
MWEBV:    0.034 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.033730 +- 0.0001
REDSHIFT_FINAL: 0.034034 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59036.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 17
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59036.44 Y NULL  4877.597 102.576 18.279 0.022 0x00
OBS: 59040.30 Y NULL  4670.962 198.218 18.326 0.045 0x00
OBS: 59042.34 Y NULL  4650.251 99.629 18.331 0.023 0x00
OBS: 59054.30 Y NULL  2086.603 81.739 19.201 0.041 0x00
OBS: 59061.32 Y NULL  1085.363 98.726 19.911 0.096 0x00
OBS: 59074.23 Y NULL  580.695 164.188 20.59 0.299 0x00
OBS: 59031.32 J NULL  3874.130 115.232 18.530 0.032 0x00
OBS: 59036.45 J NULL  5367.424 141.540 18.176 0.029 0x00
OBS: 59040.31 J NULL  5045.149 182.101 18.243 0.039 0x00
OBS: 59061.33 J NULL  435.029 130.911 20.904 0.327 0x00
OBS: 59074.24 J NULL  440.904 325.259 20.889 0.801 0x00
OBS: 59036.45 H NULL  5613.466 269.767 18.127 0.052 0x00
OBS: 59040.31 H NULL  5555.296 343.628 18.138 0.067 0x00
OBS: 59042.35 H NULL  5137.524 308.393 18.223 0.065 0x00
OBS: 59054.30 H NULL  1788.873 239.580 19.369 0.145 0x00
OBS: 59061.33 H NULL  935.041 296.627 20.073 0.344 0x00
OBS: 59074.24 H NULL  211.105 405.732 21.689 2.087 0x00
END:
