SURVEY:  DEHVILS
SNID:  2020ocv
RA:        266.6538520  deg
DECL:       20.5047250  deg
MWEBV:    0.081 +- 0.004 MW E(B-V)
REDSHIFT_HELIO: 0.062942 +- 0.0001
REDSHIFT_FINAL: 0.062702 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59048.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 14
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59044.37 Y NULL  3938.437 123.898 18.512 0.033 0x00
OBS: 59048.48 Y NULL  3095.349 212.682 18.773 0.073 0x00
OBS: 59058.34 Y NULL  1704.488 90.316 19.421 0.056 0x00
OBS: 59064.37 Y NULL  2135.510 93.264 19.176 0.046 0x00
OBS: 59072.30 Y NULL  2936.367 101.119 18.83 0.036 0x00
OBS: 59044.51 J NULL  3097.740 272.653 18.772 0.096 0x00
OBS: 59059.26 J NULL  697.534 194.647 20.391 0.303 0x00
OBS: 59064.37 J NULL  760.705 255.688 20.297 0.365 0x00
OBS: 59072.30 J NULL  938.238 222.300 20.069 0.257 0x00
OBS: 59044.38 H NULL  2957.537 379.773 18.823 0.139 0x00
OBS: 59048.48 H NULL  2407.005 464.395 19.046 0.209 0x00
OBS: 59058.34 H NULL  1631.932 320.728 19.468 0.213 0x00
OBS: 59064.38 H NULL  1603.172 335.436 19.488 0.227 0x00
OBS: 59072.30 H NULL  2363.284 310.148 19.066 0.142 0x00
END:
