SURVEY:  DEHVILS
SNID:  2020oil
RA:        268.6049170  deg
DECL:       15.6180170  deg
MWEBV:    0.091 +- 0.005 MW E(B-V)
REDSHIFT_HELIO: 0.040462 +- 0.0001
REDSHIFT_FINAL: 0.040193 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59054.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 16
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59042.31 Y NULL  5080.919 88.277 18.235 0.018 0x00
OBS: 59048.50 Y NULL  10318.417 302.056 17.466 0.031 0x00
OBS: 59055.42 Y NULL  6355.154 131.135 17.992 0.022 0x00
OBS: 59060.48 Y NULL  4761.028 78.149 18.306 0.017 0x00
OBS: 59065.38 Y NULL  4417.102 78.457 18.387 0.019 0x00
OBS: 59073.27 Y NULL  6346.080 81.561 17.994 0.014 0x00
OBS: 59042.32 J NULL  5679.252 272.059 18.114 0.052 0x00
OBS: 59060.49 J NULL  5096.416 270.127 18.232 0.058 0x00
OBS: 59065.38 J NULL  2528.575 222.568 18.993 0.096 0x00
OBS: 59073.27 J NULL  2856.564 275.500 18.860 0.105 0x00
OBS: 59042.32 H NULL  4867.932 285.077 18.282 0.064 0x00
OBS: 59048.50 H NULL  9323.578 417.817 17.576 0.049 0x00
OBS: 59055.42 H NULL  5908.121 496.715 18.071 0.091 0x00
OBS: 59060.49 H NULL  4944.713 303.329 18.265 0.067 0x00
OBS: 59065.39 H NULL  4559.543 269.090 18.353 0.064 0x00
OBS: 59073.28 H NULL  5721.903 278.116 18.106 0.053 0x00
END:
