SURVEY:  DEHVILS
SNID:  2020oms
RA:        324.5457620  deg
DECL:       6.7410350  deg
MWEBV:    0.026 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.065038 +- 0.0001
REDSHIFT_FINAL: 0.063833 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59050.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 17
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59044.53 Y NULL  4133.694 88.334 18.459 0.023 0x00
OBS: 59047.53 Y NULL  3725.653 103.383 18.572 0.029 0x00
OBS: 59054.46 Y NULL  2473.192 93.103 19.017 0.040 0x00
OBS: 59059.52 Y NULL  2279.678 67.499 19.105 0.031 0x00
OBS: 59064.43 Y NULL  2290.608 91.712 19.1 0.042 0x00
OBS: 59071.40 Y NULL  2713.144 77.097 18.916 0.030 0x00
OBS: 59044.52 J NULL  4304.225 192.827 18.415 0.049 0x00
OBS: 59054.51 J NULL  2523.408 208.445 18.995 0.090 0x00
OBS: 59059.52 J NULL  1564.343 119.720 19.514 0.083 0x00
OBS: 59064.43 J NULL  860.924 132.203 20.163 0.167 0x00
OBS: 59071.40 J NULL  1274.879 143.801 19.736 0.122 0x00
OBS: 59044.53 H NULL  3114.284 329.702 18.767 0.115 0x00
OBS: 59047.54 H NULL  2460.495 305.283 19.022 0.135 0x00
OBS: 59054.46 H NULL  1980.203 272.366 19.258 0.149 0x00
OBS: 59059.52 H NULL  1509.573 216.323 19.553 0.156 0x00
OBS: 59064.43 H NULL  1143.044 277.038 19.855 0.263 0x00
OBS: 59071.41 H NULL  1824.454 235.832 19.347 0.140 0x00
END:
