SURVEY:  DEHVILS
SNID:  2020pst
RA:        18.3001670  deg
DECL:       2.2838390  deg
MWEBV:    0.032 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.046035 +- 0.0001
REDSHIFT_FINAL: 0.044926 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59065.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 12
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59059.57 Y NULL  8241.467 61.549 17.71 0.008 0x00
OBS: 59062.63 Y NULL  7685.329 90.177 17.786 0.012 0x00
OBS: 59072.58 Y NULL  3621.695 95.816 18.603 0.028 0x00
OBS: 59101.37 Y NULL  5700.604 136.581 18.11 0.025 0x00
OBS: 59101.43 Y NULL  5788.066 95.375 18.094 0.017 0x00
OBS: 59054.59 J NULL  6339.224 173.769 17.995 0.030 0x00
OBS: 59101.38 J NULL  2420.488 196.559 19.040 0.088 0x00
OBS: 59101.43 J NULL  2432.704 184.599 19.035 0.082 0x00
OBS: 59062.63 H NULL  5810.284 315.079 18.090 0.059 0x00
OBS: 59072.58 H NULL  2845.340 360.653 18.865 0.138 0x00
OBS: 59101.39 H NULL  3520.813 282.795 18.633 0.087 0x00
OBS: 59101.44 H NULL  3153.909 439.605 18.753 0.151 0x00
END:
