SURVEY:  DEHVILS
SNID:  2020qic
RA:        3.7733330  deg
DECL:       43.3432890  deg
MWEBV:    0.065 +- 0.003 MW E(B-V)
REDSHIFT_HELIO: 0.048500 +- 0.0001
REDSHIFT_FINAL: 0.047496 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59071.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 12
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59063.56 Y NULL  6936.916 152.151 17.897 0.023 0x00
OBS: 59072.44 Y NULL  5676.887 234.751 18.115 0.044 0x00
OBS: 59075.43 Y NULL  4673.909 159.512 18.326 0.036 0x00
OBS: 59098.36 Y NULL  6703.180 177.272 17.934 0.028 0x00
OBS: 59063.56 J NULL  7242.126 201.654 17.850 0.030 0x00
OBS: 59071.57 J NULL  7053.318 359.717 17.879 0.055 0x00
OBS: 59074.42 J NULL  4975.145 384.320 18.258 0.084 0x00
OBS: 59098.36 J NULL  2380.533 271.850 19.058 0.124 0x00
OBS: 59063.56 H NULL  6540.224 479.439 17.961 0.080 0x00
OBS: 59072.44 H NULL  5672.023 482.774 18.116 0.092 0x00
OBS: 59075.43 H NULL  4188.045 411.333 18.445 0.107 0x00
OBS: 59098.36 H NULL  5363.534 456.215 18.176 0.092 0x00
END:
