SURVEY:  DEHVILS
SNID:  2020qne
RA:        24.5842080  deg
DECL:       -28.6484000  deg
MWEBV:    0.015 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.030391 +- 0.0001
REDSHIFT_FINAL: 0.029577 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59075.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 12
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59063.57 Y NULL  3092.347 101.002 18.774 0.035 0x00
OBS: 59072.63 Y NULL  4770.284 145.178 18.304 0.032 0x00
OBS: 59075.52 Y NULL  4514.895 122.694 18.363 0.029 0x00
OBS: 59100.52 Y NULL  3560.475 103.996 18.621 0.031 0x00
OBS: 59063.58 J NULL  3256.056 141.874 18.718 0.047 0x00
OBS: 59071.59 J NULL  5264.000 222.921 18.197 0.046 0x00
OBS: 59074.52 J NULL  5609.813 187.936 18.128 0.036 0x00
OBS: 59100.52 J NULL  4629.105 176.914 18.336 0.041 0x00
OBS: 59063.58 H NULL  3399.949 311.108 18.671 0.099 0x00
OBS: 59072.64 H NULL  5801.510 497.428 18.091 0.093 0x00
OBS: 59075.52 H NULL  6324.826 425.468 17.997 0.073 0x00
OBS: 59100.53 H NULL  5290.003 373.251 18.191 0.077 0x00
END:
