SURVEY:  DEHVILS
SNID:  2020rgz
RA:        273.0044170  deg
DECL:       51.7245810  deg
MWEBV:    0.036 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.028753 +- 0.0001
REDSHIFT_FINAL: 0.028430 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59089.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 20
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59100.23 Y NULL  7644.530 104.587 17.792 0.014 0x00
OBS: 59103.24 Y NULL  8072.555 136.332 17.732 0.018 0x00
OBS: 59106.21 Y NULL  9568.593 167.192 17.548 0.018 0x00
OBS: 59114.25 Y NULL  14209.557 85.642 17.119 0.006 0x00
OBS: 59119.22 Y NULL  19475.119 172.357 16.776 0.009 0x00
OBS: 59120.23 Y NULL  19127.730 168.813 16.796 0.009 0x00
OBS: 59129.23 Y NULL  13744.193 134.493 17.155 0.010 0x00
OBS: 59100.26 J NULL  3948.127 471.650 18.509 0.130 0x00
OBS: 59103.25 J NULL  2794.126 422.471 18.884 0.164 0x00
OBS: 59106.23 J NULL  3321.335 731.285 18.697 0.239 0x00
OBS: 59106.24 J NULL  1605.858 673.224 19.486 0.455 0x00
OBS: 59114.25 J NULL  5077.420 245.881 18.236 0.053 0x00
OBS: 59120.23 J NULL  7558.844 311.818 17.804 0.045 0x00
OBS: 59129.23 J NULL  4360.057 313.271 18.401 0.078 0x00
OBS: 59100.25 H NULL  9067.645 375.568 17.606 0.045 0x00
OBS: 59103.24 H NULL  10101.649 435.041 17.489 0.047 0x00
OBS: 59106.22 H NULL  11487.384 515.767 17.349 0.049 0x00
OBS: 59114.26 H NULL  14155.008 284.819 17.123 0.022 0x00
OBS: 59120.24 H NULL  15243.936 443.306 17.042 0.032 0x00
OBS: 59129.24 H NULL  7886.268 476.519 17.758 0.066 0x00
END:
