SURVEY:  DEHVILS
SNID:  2020rlj
RA:        345.2900600  deg
DECL:       23.4872230  deg
MWEBV:    0.108 +- 0.005 MW E(B-V)
REDSHIFT_HELIO: 0.039761 +- 0.0001
REDSHIFT_FINAL: 0.038535 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59089.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 18
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59100.51 Y NULL  5364.259 120.204 18.176 0.024 0x00
OBS: 59103.33 Y NULL  4947.044 108.047 18.264 0.023 0x00
OBS: 59106.26 Y NULL  4692.985 137.008 18.321 0.031 0x00
OBS: 59113.28 Y NULL  3414.301 132.179 18.667 0.041 0x00
OBS: 59118.36 Y NULL  2450.156 107.182 19.027 0.046 0x00
OBS: 59123.29 Y NULL  1962.386 115.729 19.268 0.062 0x00
OBS: 59100.53 J NULL  3026.140 255.489 18.798 0.092 0x00
OBS: 59103.34 J NULL  2091.327 213.181 19.199 0.111 0x00
OBS: 59106.27 J NULL  1719.507 287.745 19.411 0.182 0x00
OBS: 59113.28 J NULL  1254.362 242.522 19.754 0.210 0x00
OBS: 59118.36 J NULL  786.863 184.915 20.260 0.255 0x00
OBS: 59123.29 J NULL  270.354 208.770 21.420 0.838 0x00
OBS: 59100.51 H NULL  3381.330 363.478 18.677 0.117 0x00
OBS: 59103.33 H NULL  3337.416 251.452 18.691 0.082 0x00
OBS: 59106.26 H NULL  2953.343 428.246 18.824 0.157 0x00
OBS: 59113.29 H NULL  1743.207 388.639 19.397 0.242 0x00
OBS: 59118.37 H NULL  858.581 302.521 20.166 0.383 0x00
OBS: 59123.29 H NULL  544.574 333.526 20.660 0.665 0x00
END:
