SURVEY:  DEHVILS
SNID:  2020sjo
RA:        66.5914580  deg
DECL:       -10.0988110  deg
MWEBV:    0.057 +- 0.003 MW E(B-V)
REDSHIFT_HELIO: 0.031268 +- 0.0001
REDSHIFT_FINAL: 0.031050 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59108.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 20
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59100.55 Y NULL  12743.547 109.921 17.237 0.009 0x00
OBS: 59104.63 Y NULL  13899.263 106.145 17.143 0.008 0x00
OBS: 59107.56 Y NULL  11303.578 95.035 17.367 0.009 0x00
OBS: 59115.51 Y NULL  7605.120 119.718 17.797 0.017 0x00
OBS: 59120.63 Y NULL  8062.223 96.921 17.733999999999998 0.013 0x00
OBS: 59121.54 Y NULL  8143.415 105.446 17.723 0.014 0x00
OBS: 59126.54 Y NULL  10784.342 99.401 17.418 0.010 0x00
OBS: 59100.57 J NULL  13762.195 603.050 17.153 0.048 0x00
OBS: 59103.58 J NULL  14683.417 454.190 17.083 0.034 0x00
OBS: 59107.56 J NULL  11905.998 392.390 17.311 0.036 0x00
OBS: 59115.52 J NULL  5117.195 172.422 18.227 0.037 0x00
OBS: 59120.64 J NULL  3035.388 144.252 18.794 0.052 0x00
OBS: 59121.54 J NULL  3316.419 150.636 18.698 0.049 0x00
OBS: 59126.55 J NULL  3581.717 188.758 18.615 0.057 0x00
OBS: 59100.56 H NULL  11740.496 352.793 17.326 0.033 0x00
OBS: 59104.64 H NULL  12309.264 319.628 17.274 0.028 0x00
OBS: 59107.57 H NULL  10457.034 295.816 17.451 0.031 0x00
OBS: 59115.52 H NULL  7747.604 415.790 17.777 0.058 0x00
OBS: 59121.55 H NULL  7482.129 311.428 17.815 0.045 0x00
OBS: 59126.55 H NULL  9829.490 319.662 17.519 0.035 0x00
END:
