SURVEY:  DEHVILS
SNID:  2020sme
RA:        41.0867500  deg
DECL:       14.9213000  deg
MWEBV:    0.088 +- 0.004 MW E(B-V)
REDSHIFT_HELIO: 0.045625 +- 0.0001
REDSHIFT_FINAL: 0.044844 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59113.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 22
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59103.56 Y NULL  7200.008 96.613 17.857 0.014 0x00
OBS: 59107.50 Y NULL  8973.189 103.753 17.618 0.012 0x00
OBS: 59111.45 Y NULL  10308.686 120.225 17.467 0.012 0x00
OBS: 59114.40 Y NULL  10612.111 125.412 17.435 0.012 0x00
OBS: 59119.44 Y NULL  10742.689 241.807 17.422 0.024 0x00
OBS: 59120.51 Y NULL  10595.255 95.277 17.437 0.010 0x00
OBS: 59128.49 Y NULL  10778.342 96.429 17.419 0.009 0x00
OBS: 59134.54 Y NULL  11507.261 95.568 17.348 0.009 0x00
OBS: 59137.54 Y NULL  12186.427 85.934 17.285 0.007 0x00
OBS: 59103.53 J NULL  7492.622 308.226 17.813 0.045 0x00
OBS: 59108.52 J NULL  9931.201 258.211 17.507 0.028 0x00
OBS: 59115.57 J NULL  10617.343 377.263 17.435 0.039 0x00
OBS: 59120.52 J NULL  9480.119 120.458 17.558 0.014 0x00
OBS: 59128.49 J NULL  7490.223 287.342 17.814 0.042 0x00
OBS: 59134.54 J NULL  7362.520 151.462 17.832 0.022 0x00
OBS: 59137.55 J NULL  7260.454 133.598 17.848 0.020 0x00
OBS: 59103.56 H NULL  7807.575 297.723 17.769 0.041 0x00
OBS: 59107.51 H NULL  9621.840 354.390 17.542 0.040 0x00
OBS: 59114.41 H NULL  11374.397 436.784 17.360 0.042 0x00
OBS: 59120.52 H NULL  10034.996 275.302 17.496 0.030 0x00
OBS: 59128.50 H NULL  9478.878 301.058 17.558 0.034 0x00
OBS: 59137.55 H NULL  9722.168 280.622 17.531 0.031 0x00
END:
