SURVEY:  DEHVILS
SNID:  2020svo
RA:        40.6334710  deg
DECL:       -0.9631400  deg
MWEBV:    0.029 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.038747 +- 0.0001
REDSHIFT_FINAL: 0.037980 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59113.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 21
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59115.53 Y NULL  6747.797 239.082 17.927 0.037 0x00
OBS: 59120.50 Y NULL  4761.143 224.833 18.306 0.050 0x00
OBS: 59128.48 Y NULL  4500.908 112.370 18.367 0.026 0x00
OBS: 59134.53 Y NULL  5509.525 98.631 18.147 0.019 0x00
OBS: 59141.53 Y NULL  8352.865 139.843 17.695 0.018 0x00
OBS: 59145.35 Y NULL  8656.372 159.547 17.657 0.019 0x00
OBS: 59157.52 Y NULL  5501.323 180.583 18.149 0.035 0x00
OBS: 59103.54 J NULL  6625.678 155.551 17.947 0.025 0x00
OBS: 59107.54 J NULL  9580.246 153.196 17.547 0.017 0x00
OBS: 59115.54 J NULL  6244.855 330.117 18.011 0.057 0x00
OBS: 59134.53 J NULL  1927.611 133.617 19.287 0.075 0x00
OBS: 59141.53 J NULL  2809.290 147.677 18.879 0.057 0x00
OBS: 59145.35 J NULL  3039.818 171.471 18.793 0.061 0x00
OBS: 59157.53 J NULL  1282.279 183.331 19.730 0.155 0x00
OBS: 59115.53 H NULL  6298.561 380.650 18.002 0.066 0x00
OBS: 59120.51 H NULL  4685.703 324.515 18.323 0.075 0x00
OBS: 59128.49 H NULL  3764.634 738.688 18.561 0.213 0x00
OBS: 59134.54 H NULL  4922.122 359.492 18.270 0.079 0x00
OBS: 59141.54 H NULL  6166.506 351.784 18.025 0.062 0x00
OBS: 59145.35 H NULL  5157.664 689.167 18.219 0.145 0x00
OBS: 59157.53 H NULL  1995.772 599.051 19.250 0.326 0x00
END:
