SURVEY:  DEHVILS
SNID:  2020swy
RA:        20.9815000  deg
DECL:       -38.0137610  deg
MWEBV:    0.017 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.032009 +- 0.0001
REDSHIFT_FINAL: 0.031270 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59116.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 18
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59108.50 Y NULL  15173.255 107.757 17.047 0.008 0x00
OBS: 59115.49 Y NULL  14254.291 176.054 17.115 0.013 0x00
OBS: 59118.49 Y NULL  11388.743 116.230 17.358999999999998 0.011 0x00
OBS: 59125.46 Y NULL  9123.510 160.438 17.6 0.019 0x00
OBS: 59130.44 Y NULL  9968.504 112.390 17.503 0.012 0x00
OBS: 59137.44 Y NULL  13503.348 169.342 17.174 0.013 0x00
OBS: 59103.55 J NULL  8546.771 263.130 17.670 0.033 0x00
OBS: 59108.51 J NULL  16698.755 540.848 16.943 0.035 0x00
OBS: 59116.52 J NULL  15074.492 394.305 17.054 0.028 0x00
OBS: 59125.46 J NULL  7166.907 257.578 17.862 0.039 0x00
OBS: 59130.44 J NULL  4468.861 263.841 18.375 0.064 0x00
OBS: 59137.45 J NULL  5058.270 262.366 18.240 0.056 0x00
OBS: 59108.50 H NULL  13654.162 422.630 17.162 0.034 0x00
OBS: 59115.49 H NULL  13419.286 410.686 17.181 0.033 0x00
OBS: 59118.50 H NULL  12151.066 335.365 17.288 0.030 0x00
OBS: 59125.47 H NULL  9395.817 496.976 17.568 0.057 0x00
OBS: 59130.45 H NULL  9441.272 497.988 17.562 0.057 0x00
OBS: 59137.46 H NULL  12503.716 538.095 17.257 0.047 0x00
END:
