SURVEY:  DEHVILS
SNID:  2020szr
RA:        347.3879170  deg
DECL:       15.6592690  deg
MWEBV:    0.155 +- 0.008 MW E(B-V)
REDSHIFT_HELIO: 0.025281 +- 0.0001
REDSHIFT_FINAL: 0.024033 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59118.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 14
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59119.26 Y NULL  13282.670 216.692 17.192 0.017 0x00
OBS: 59120.38 Y NULL  11841.856 148.177 17.316 0.013 0x00
OBS: 59125.25 Y NULL  9051.243 218.867 17.608 0.026 0x00
OBS: 59130.33 Y NULL  9146.867 132.816 17.597 0.015 0x00
OBS: 59107.37 J NULL  13615.679 373.994 17.165 0.030 0x00
OBS: 59112.39 J NULL  20987.076 411.873 16.695 0.021 0x00
OBS: 59115.37 J NULL  21537.758 489.961 16.667 0.025 0x00
OBS: 59119.26 J NULL  16871.856 321.589 16.932 0.021 0x00
OBS: 59120.38 J NULL  15074.096 284.871 17.054 0.021 0x00
OBS: 59130.33 J NULL  4091.077 265.410 18.470 0.070 0x00
OBS: 59119.27 H NULL  14950.337 387.425 17.063 0.028 0x00
OBS: 59120.39 H NULL  14402.253 329.330 17.104 0.025 0x00
OBS: 59125.25 H NULL  12206.078 508.795 17.284 0.045 0x00
OBS: 59130.34 H NULL  11359.209 260.710 17.362 0.025 0x00
END:
