SURVEY:  DEHVILS
SNID:  2020tdy
RA:        252.8413240  deg
DECL:       7.8616080  deg
MWEBV:    0.076 +- 0.004 MW E(B-V)
REDSHIFT_HELIO: 0.042790 +- 0.0001
REDSHIFT_FINAL: 0.042881 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59119.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 14
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59114.24 Y NULL  8024.070 165.366 17.739 0.022 0x00
OBS: 59119.21 Y NULL  6177.352 158.387 18.023 0.027 0x00
OBS: 59120.21 Y NULL  5426.926 186.715 18.164 0.036 0x00
OBS: 59123.21 Y NULL  4988.244 151.991 18.255 0.032 0x00
OBS: 59129.21 Y NULL  3951.967 164.434 18.508 0.044 0x00
OBS: 59108.26 J NULL  4421.812 172.375 18.386 0.042 0x00
OBS: 59114.25 J NULL  8291.243 331.594 17.703 0.043 0x00
OBS: 59117.25 J NULL  7678.557 531.634 17.787 0.075 0x00
OBS: 59129.21 J NULL  1941.728 295.289 19.280 0.165 0x00
OBS: 59114.24 H NULL  6875.911 430.597 17.907 0.068 0x00
OBS: 59119.21 H NULL  5731.388 837.002 18.104 0.159 0x00
OBS: 59120.22 H NULL  4039.327 614.006 18.484 0.165 0x00
OBS: 59123.22 H NULL  4779.520 571.816 18.302 0.130 0x00
OBS: 59129.22 H NULL  3044.514 599.120 18.791 0.214 0x00
END:
