SURVEY:  DEHVILS
SNID:  2020tfc
RA:        334.2533500  deg
DECL:       30.6558520  deg
MWEBV:    0.063 +- 0.003 MW E(B-V)
REDSHIFT_HELIO: 0.039431 +- 0.0001
REDSHIFT_FINAL: 0.038290 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59114.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 21
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59113.27 Y NULL  8504.090 154.112 17.676 0.019 0x00
OBS: 59118.24 Y NULL  6047.661 192.876 18.046 0.034 0x00
OBS: 59121.31 Y NULL  9812.540 162.371 17.521 0.017 0x00
OBS: 59126.32 Y NULL  6544.909 155.740 17.96 0.025 0x00
OBS: 59128.37 Y NULL  5241.151 176.144 18.201 0.036 0x00
OBS: 59140.42 Y NULL  10092.526 154.399 17.49 0.016 0x00
OBS: 59145.26 Y NULL  7393.852 132.685 17.828 0.019 0x00
OBS: 59107.37 J NULL  6971.686 207.820 17.892 0.032 0x00
OBS: 59113.29 J NULL  13201.796 1078.984 17.198 0.089 0x00
OBS: 59114.36 J NULL  7630.652 467.609 17.794 0.067 0x00
OBS: 59117.27 J NULL  6171.841 414.000 18.024 0.073 0x00
OBS: 59126.32 J NULL  2068.499 246.100 19.211 0.129 0x00
OBS: 59128.37 J NULL  4815.146 216.100 18.293 0.049 0x00
OBS: 59140.42 J NULL  5668.751 232.904 18.116 0.045 0x00
OBS: 59145.26 J NULL  2356.171 265.210 19.069 0.122 0x00
OBS: 59113.27 H NULL  9577.547 449.014 17.547 0.051 0x00
OBS: 59118.25 H NULL  7427.458 487.325 17.823 0.071 0x00
OBS: 59121.31 H NULL  21027.539 372.933 16.693 0.019 0x00
OBS: 59128.38 H NULL  19238.347 360.918 16.790 0.020 0x00
OBS: 59140.43 H NULL  17057.781 366.900 16.920 0.023 0x00
OBS: 59145.27 H NULL  8242.935 416.005 17.710 0.055 0x00
END:
