SURVEY:  DEHVILS
SNID:  2020tkp
RA:        359.5440480  deg
DECL:       22.7701250  deg
MWEBV:    0.073 +- 0.004 MW E(B-V)
REDSHIFT_HELIO: 0.034794 +- 0.0001
REDSHIFT_FINAL: 0.033592 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59124.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 18
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59114.35 Y NULL  7849.789 81.983 17.763 0.011 0x00
OBS: 59119.31 Y NULL  9335.842 81.300 17.575 0.009 0x00
OBS: 59122.39 Y NULL  9052.842 79.572 17.608 0.009 0x00
OBS: 59128.39 Y NULL  8361.765 127.432 17.694 0.016 0x00
OBS: 59133.32 Y NULL  7611.814 79.338 17.796 0.011 0x00
OBS: 59140.39 Y NULL  8853.617 74.155 17.632 0.009 0x00
OBS: 59114.35 J NULL  9092.535 206.844 17.603 0.025 0x00
OBS: 59117.40 J NULL  10245.173 129.709 17.474 0.014 0x00
OBS: 59120.39 J NULL  10411.400 173.148 17.456 0.018 0x00
OBS: 59128.39 J NULL  9025.503 112.018 17.611 0.013 0x00
OBS: 59133.33 J NULL  7641.333 159.018 17.792 0.023 0x00
OBS: 59140.39 J NULL  6199.953 147.282 18.019 0.026 0x00
OBS: 59114.36 H NULL  8387.447 273.977 17.691 0.035 0x00
OBS: 59119.32 H NULL  9196.154 281.669 17.591 0.033 0x00
OBS: 59122.39 H NULL  9664.868 251.467 17.537 0.028 0x00
OBS: 59128.40 H NULL  9351.940 214.460 17.573 0.025 0x00
OBS: 59133.33 H NULL  9037.568 293.595 17.610 0.035 0x00
OBS: 59140.40 H NULL  8763.826 269.284 17.643 0.033 0x00
END:
