SURVEY:  DEHVILS
SNID:  2020tpf
RA:        81.2790380  deg
DECL:       -21.2464480  deg
MWEBV:    0.045 +- 0.002 MW E(B-V)
REDSHIFT_HELIO: 0.028867 +- 0.0001
REDSHIFT_FINAL: 0.028991 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59124.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 18
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59115.64 Y NULL  18315.179 171.149 16.843 0.010 0x00
OBS: 59121.63 Y NULL  16144.274 152.980 16.98 0.010 0x00
OBS: 59125.51 Y NULL  13355.970 144.636 17.186 0.011 0x00
OBS: 59130.55 Y NULL  9943.463 104.350 17.506 0.011 0x00
OBS: 59140.57 Y NULL  12535.436 107.496 17.255 0.009 0x00
OBS: 59154.54 Y NULL  21690.755 128.891 16.659 0.006 0x00
OBS: 59116.57 J NULL  19629.976 348.601 16.768 0.019 0x00
OBS: 59122.61 J NULL  18151.305 376.132 16.853 0.022 0x00
OBS: 59125.51 J NULL  15611.456 482.388 17.016 0.034 0x00
OBS: 59130.55 J NULL  10113.474 173.848 17.488 0.019 0x00
OBS: 59140.57 J NULL  5375.127 168.958 18.174 0.034 0x00
OBS: 59154.55 J NULL  7148.814 177.660 17.864 0.027 0x00
OBS: 59115.64 H NULL  18232.682 455.143 16.848 0.027 0x00
OBS: 59121.63 H NULL  14651.032 419.076 17.085 0.031 0x00
OBS: 59125.51 H NULL  12639.143 545.384 17.246 0.047 0x00
OBS: 59130.56 H NULL  11069.239 375.028 17.390 0.037 0x00
OBS: 59140.58 H NULL  13022.617 374.919 17.213 0.031 0x00
OBS: 59154.55 H NULL  15654.023 356.863 17.013 0.025 0x00
END:
