SURVEY:  DEHVILS
SNID:  2020tug
RA:        359.8661690  deg
DECL:       17.8652140  deg
MWEBV:    0.025 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.045769 +- 0.0001
REDSHIFT_FINAL: 0.044531 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59127.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 18
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59114.33 Y NULL  2186.071 80.410 19.151 0.039 0x00
OBS: 59119.32 Y NULL  5230.761 86.379 18.204 0.017 0x00
OBS: 59122.38 Y NULL  5498.998 88.908 18.149 0.017 0x00
OBS: 59128.40 Y NULL  4093.564 131.086 18.47 0.034 0x00
OBS: 59133.34 Y NULL  2989.534 82.926 18.811 0.029 0x00
OBS: 59140.40 Y NULL  2528.921 99.681 18.993 0.042 0x00
OBS: 59114.34 J NULL  2063.051 137.151 19.214 0.072 0x00
OBS: 59117.41 J NULL  3947.790 117.456 18.509 0.032 0x00
OBS: 59120.41 J NULL  4935.558 165.747 18.267 0.036 0x00
OBS: 59128.41 J NULL  3579.709 159.382 18.615 0.048 0x00
OBS: 59133.34 J NULL  2291.368 128.442 19.100 0.061 0x00
OBS: 59140.41 J NULL  759.047 167.657 20.299 0.240 0x00
OBS: 59114.34 H NULL  2137.659 283.002 19.175 0.144 0x00
OBS: 59119.32 H NULL  4307.383 318.519 18.414 0.080 0x00
OBS: 59122.38 H NULL  4748.122 266.095 18.309 0.061 0x00
OBS: 59128.41 H NULL  3608.430 260.162 18.607 0.078 0x00
OBS: 59133.35 H NULL  3357.295 300.201 18.685 0.097 0x00
OBS: 59140.41 H NULL  2187.963 280.349 19.150 0.139 0x00
END:
