SURVEY:  DEHVILS
SNID:  2020uea
RA:        37.8382030  deg
DECL:       43.4647910  deg
MWEBV:    0.072 +- 0.004 MW E(B-V)
REDSHIFT_HELIO: 0.019544 +- 0.0001
REDSHIFT_FINAL: 0.018857 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59127.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 18
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59121.51 Y NULL  9834.260 131.536 17.518 0.014 0x00
OBS: 59125.38 Y NULL  12838.049 186.321 17.229 0.015 0x00
OBS: 59128.47 Y NULL  13053.923 113.222 17.211 0.009 0x00
OBS: 59141.40 Y NULL  8025.214 147.439 17.739 0.019 0x00
OBS: 59146.34 Y NULL  5770.285 113.577 18.097 0.021 0x00
OBS: 59154.36 Y NULL  3466.267 183.211 18.65 0.056 0x00
OBS: 59122.44 J NULL  11790.994 271.504 17.321 0.025 0x00
OBS: 59125.39 J NULL  13805.237 278.597 17.150 0.022 0x00
OBS: 59128.54 J NULL  13337.590 235.563 17.187 0.019 0x00
OBS: 59141.41 J NULL  4896.396 237.765 18.275 0.053 0x00
OBS: 59146.35 J NULL  2585.298 260.267 18.969 0.109 0x00
OBS: 59154.36 J NULL  1338.500 227.629 19.683 0.185 0x00
OBS: 59121.52 H NULL  12128.094 473.132 17.291 0.042 0x00
OBS: 59125.39 H NULL  15725.082 470.445 17.009 0.032 0x00
OBS: 59128.47 H NULL  14822.643 429.118 17.073 0.031 0x00
OBS: 59141.41 H NULL  6611.074 473.293 17.949 0.078 0x00
OBS: 59146.35 H NULL  4065.507 391.845 18.477 0.105 0x00
OBS: 59154.36 H NULL  2641.465 493.948 18.945 0.203 0x00
END:
