SURVEY:  DEHVILS
SNID:  2020uec
RA:        317.4522080  deg
DECL:       15.1485810  deg
MWEBV:    0.074 +- 0.004 MW E(B-V)
REDSHIFT_HELIO: 0.027914 +- 0.0001
REDSHIFT_FINAL: 0.026829 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59131.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 18
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59121.20 Y NULL  12331.858 201.315 17.272 0.017 0x00
OBS: 59125.24 Y NULL  15824.951 171.026 17.002 0.011 0x00
OBS: 59128.36 Y NULL  14732.061 166.429 17.079 0.012 0x00
OBS: 59141.32 Y NULL  7187.653 166.101 17.858999999999998 0.024 0x00
OBS: 59146.36 Y NULL  7415.058 156.432 17.825 0.022 0x00
OBS: 59161.34 Y NULL  16628.400 194.834 16.948 0.012 0x00
OBS: 59120.24 J NULL  10712.619 298.854 17.425 0.030 0x00
OBS: 59123.24 J NULL  15458.956 512.902 17.027 0.036 0x00
OBS: 59129.39 J NULL  16573.333 412.034 16.951 0.027 0x00
OBS: 59141.33 J NULL  5084.087 261.186 18.234 0.056 0x00
OBS: 59146.37 J NULL  3088.081 240.199 18.776 0.084 0x00
OBS: 59161.35 J NULL  5580.035 308.236 18.133 0.060 0x00
OBS: 59121.21 H NULL  10828.796 511.572 17.414 0.051 0x00
OBS: 59125.24 H NULL  15065.944 565.676 17.055 0.041 0x00
OBS: 59128.36 H NULL  14108.878 368.774 17.126 0.028 0x00
OBS: 59141.33 H NULL  9535.604 473.703 17.552 0.054 0x00
OBS: 59146.37 H NULL  8130.284 449.904 17.725 0.060 0x00
OBS: 59161.35 H NULL  11783.039 491.127 17.322 0.045 0x00
END:
