SURVEY:  DEHVILS
SNID:  2020uek
RA:        13.4788050  deg
DECL:       -31.0935550  deg
MWEBV:    0.016 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.031942 +- 0.0001
REDSHIFT_FINAL: 0.031046 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59125.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 18
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59118.44 Y NULL  11888.551 142.004 17.312 0.013 0x00
OBS: 59121.44 Y NULL  14666.321 143.190 17.084 0.010 0x00
OBS: 59125.37 Y NULL  12372.959 165.184 17.269 0.014 0x00
OBS: 59130.43 Y NULL  8774.230 108.242 17.642 0.013 0x00
OBS: 59145.36 Y NULL  14894.797 113.391 17.067 0.008 0x00
OBS: 59162.34 Y NULL  6734.929 102.606 17.929 0.016 0x00
OBS: 59121.46 J NULL  14647.312 382.182 17.086 0.028 0x00
OBS: 59125.40 J NULL  12992.409 453.094 17.216 0.038 0x00
OBS: 59128.52 J NULL  8707.099 415.293 17.650 0.052 0x00
OBS: 59130.43 J NULL  6469.111 186.611 17.973 0.031 0x00
OBS: 59145.36 J NULL  6253.418 183.924 18.010 0.032 0x00
OBS: 59162.35 J NULL  1390.352 161.890 19.642 0.126 0x00
OBS: 59118.45 H NULL  10906.213 297.295 17.406 0.030 0x00
OBS: 59121.45 H NULL  12193.711 361.342 17.285 0.032 0x00
OBS: 59125.38 H NULL  9971.667 401.477 17.503 0.044 0x00
OBS: 59130.43 H NULL  7462.914 355.441 17.818 0.052 0x00
OBS: 59145.37 H NULL  11245.051 388.302 17.373 0.037 0x00
OBS: 59162.35 H NULL  3771.568 332.478 18.559 0.096 0x00
END:
