SURVEY:  DEHVILS
SNID:  2020uen
RA:        80.4701940  deg
DECL:       -27.5645990  deg
MWEBV:    0.020 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: 0.032553 +- 0.0001
REDSHIFT_FINAL: 0.032674 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59126.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 18
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59118.61 Y NULL  11685.948 124.305 17.331 0.011 0x00
OBS: 59121.64 Y NULL  12058.035 158.106 17.297 0.014 0x00
OBS: 59125.54 Y NULL  9789.024 152.218 17.523 0.016 0x00
OBS: 59130.56 Y NULL  7169.411 131.177 17.861 0.019 0x00
OBS: 59141.52 Y NULL  8565.866 140.318 17.668 0.017 0x00
OBS: 59154.62 Y NULL  14404.429 150.126 17.104 0.011 0x00
OBS: 59122.61 J NULL  11843.780 450.598 17.316 0.041 0x00
OBS: 59125.55 J NULL  9138.600 467.798 17.598 0.056 0x00
OBS: 59128.58 J NULL  7097.689 399.099 17.872 0.061 0x00
OBS: 59130.57 J NULL  6058.395 322.981 18.044 0.058 0x00
OBS: 59141.52 J NULL  2830.104 260.867 18.870 0.100 0x00
OBS: 59154.62 J NULL  5305.644 269.687 18.188 0.055 0x00
OBS: 59118.62 H NULL  10054.803 545.590 17.494 0.059 0x00
OBS: 59121.64 H NULL  9596.840 652.097 17.545 0.074 0x00
OBS: 59125.54 H NULL  8864.420 647.965 17.631 0.079 0x00
OBS: 59130.57 H NULL  6626.004 585.734 17.947 0.096 0x00
OBS: 59141.52 H NULL  7287.241 612.439 17.844 0.091 0x00
OBS: 59154.63 H NULL  9271.793 652.632 17.582 0.076 0x00
END:
