SURVEY:  DEHVILS
SNID:  2020ueq
RA:        70.8396250  deg
DECL:       -33.7614610  deg
MWEBV:    0.019 +- 0.001 MW E(B-V)
REDSHIFT_HELIO: -99.0000 +- 0.0001
REDSHIFT_FINAL: -99.0000 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59127.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 18
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59118.61 Y NULL  5716.302 95.828 18.107 0.018 0x00
OBS: 59122.57 Y NULL  6955.210 117.152 17.894 0.018 0x00
OBS: 59125.53 Y NULL  6935.971 129.999 17.897 0.020 0x00
OBS: 59131.57 Y NULL  4735.895 98.585 18.311 0.022 0x00
OBS: 59147.55 Y NULL  5736.800 111.976 18.103 0.021 0x00
OBS: 59154.56 Y NULL  7278.979 102.715 17.845 0.015 0x00
OBS: 59122.60 J NULL  7333.690 446.853 17.837 0.066 0x00
OBS: 59125.54 J NULL  7990.072 397.809 17.744 0.054 0x00
OBS: 59128.58 J NULL  5820.326 349.238 18.088 0.065 0x00
OBS: 59131.57 J NULL  5074.497 176.841 18.237 0.038 0x00
OBS: 59147.56 J NULL  1623.581 197.147 19.474 0.132 0x00
OBS: 59154.56 J NULL  2507.620 171.274 19.002 0.074 0x00
OBS: 59118.61 H NULL  5230.314 332.217 18.204 0.069 0x00
OBS: 59122.57 H NULL  6233.975 431.017 18.013 0.075 0x00
OBS: 59125.53 H NULL  6848.105 483.577 17.911 0.077 0x00
OBS: 59131.58 H NULL  5188.267 379.585 18.212 0.079 0x00
OBS: 59147.56 H NULL  4817.246 438.989 18.293 0.099 0x00
OBS: 59154.56 H NULL  4775.449 412.213 18.302 0.094 0x00
END:
