SURVEY:  DEHVILS
SNID:  2020unl
RA:        98.9504170  deg
DECL:       55.7110810  deg
MWEBV:    0.056 +- 0.003 MW E(B-V)
REDSHIFT_HELIO: 0.047154 +- 0.0001
REDSHIFT_FINAL: 0.047284 +- 0.0001
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59135.0
FILTERS:    YJH

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 19
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59128.64 Y NULL  9033.100 100.732 17.61 0.012 0x00
OBS: 59131.55 Y NULL  11955.388 85.897 17.306 0.008 0x00
OBS: 59141.61 Y NULL  14736.414 85.919 17.079 0.006 0x00
OBS: 59147.58 Y NULL  13101.022 89.231 17.207 0.007 0x00
OBS: 59154.49 Y NULL  8328.473 125.019 17.699 0.016 0x00
OBS: 59160.58 Y NULL  5519.839 104.640 18.145 0.020 0x00
OBS: 59129.65 J NULL  11624.784 384.172 17.337 0.036 0x00
OBS: 59141.64 J NULL  16074.563 307.718 16.985 0.021 0x00
OBS: 59147.59 J NULL  16530.432 202.078 16.954 0.013 0x00
OBS: 59154.51 J NULL  11144.480 237.673 17.382 0.023 0x00
OBS: 59154.59 J NULL  11245.236 269.970 17.373 0.026 0x00
OBS: 59157.55 J NULL  9163.986 526.453 17.595 0.062 0x00
OBS: 59160.59 J NULL  7851.379 208.668 17.763 0.029 0x00
OBS: 59128.64 H NULL  10319.678 285.893 17.466 0.030 0x00
OBS: 59131.55 H NULL  13450.588 292.542 17.178 0.024 0x00
OBS: 59141.62 H NULL  16692.020 253.004 16.944 0.016 0x00
OBS: 59147.59 H NULL  14551.438 316.175 17.093 0.024 0x00
OBS: 59154.51 H NULL  10558.715 386.872 17.441 0.040 0x00
OBS: 59160.59 H NULL  6763.058 391.692 17.925 0.063 0x00
END:
